"exp","wks","bluecol","ind","south","smsa","married","sex","union","ed","black","lwage","id","time"
14,41,"no",0,"no","no","no","female","no",14,"no",6.47697,"15","6"
15,48,"no",0,"no","no","no","female","no",14,"no",6.47697,"15","7"
16,50,"yes",0,"yes","yes","no","female","no",12,"yes",5.97889,"16","1"
17,50,"yes",0,"yes","yes","no","female","no",12,"yes",5.78383,"16","2"
18,48,"yes",0,"yes","yes","no","female","no",12,"yes",5.85793,"16","3"
19,48,"yes",0,"yes","yes","no","female","no",12,"yes",5.95324,"16","4"
20,50,"yes",0,"yes","yes","no","female","no",12,"yes",6.14633,"16","5"
21,50,"yes",0,"yes","yes","no","female","no",12,"yes",6.17587,"16","6"
22,49,"yes",0,"yes","yes","no","female","no",12,"yes",6.38856,"16","7"
16,49,"no",1,"no","no","yes","male","no",14,"no",6.62007,"17","1"
17,48,"no",1,"no","no","yes","male","no",14,"no",6.49224,"17","2"
18,49,"no",1,"no","no","yes","male","no",14,"no",6.77992,"17","3"
19,50,"no",1,"no","no","yes","male","no",14,"no",6.74524,"17","4"
20,51,"no",1,"no","no","yes","male","no",14,"no",7.09008,"17","5"
21,46,"no",1,"no","no","yes","male","no",14,"no",7.1309,"17","6"
22,47,"no",1,"no","no","yes","male","no",14,"no",7.1309,"17","7"
25,47,"no",1,"yes","yes","yes","male","no",16,"no",6.90575,"18","1"
26,46,"no",1,"yes","yes","yes","male","no",16,"no",6.90575,"18","2"
27,47,"no",1,"yes","yes","yes","male","no",16,"no",7.6009,"18","3"
28,47,"no",1,"yes","yes","yes","male","no",16,"no",7.64969,"18","4"
29,47,"no",1,"yes","yes","yes","male","no",16,"no",7.71869,"18","5"
30,48,"no",1,"yes","yes","yes","male","no",16,"no",7.78322,"18","6"
31,47,"no",1,"yes","yes","yes","male","no",16,"no",7.80384,"18","7"
40,37,"yes",1,"no","yes","yes","male","yes",12,"no",6.38688,"19","1"
41,49,"yes",1,"no","yes","yes","male","yes",12,"no",6.47389,"19","2"
42,50,"yes",1,"no","yes","yes","male","yes",12,"no",6.54247,"19","3"
43,47,"yes",1,"no","yes","yes","male","yes",12,"no",6.67582,"19","4"
44,47,"yes",1,"no","yes","yes","male","yes",12,"no",6.7417,"19","5"
45,25,"yes",1,"no","yes","yes","male","yes",12,"no",6.83195,"19","6"
46,40,"yes",1,"no","yes","yes","male","yes",12,"no",6.93634,"19","7"
25,50,"no",0,"no","no","yes","male","no",16,"no",6.78333,"20","1"
26,49,"no",1,"no","no","yes","male","no",16,"no",6.85751,"20","2"
27,49,"no",1,"no","no","yes","male","no",16,"no",6.98472,"20","3"
28,48,"no",1,"no","no","yes","male","no",16,"no",7.0579,"20","4"
29,48,"no",1,"no","no","yes","male","no",16,"no",7.20564,"20","5"
30,49,"no",1,"no","no","yes","male","no",16,"no",7.10988,"20","6"
31,48,"no",1,"no","no","yes","male","no",16,"no",7.26683,"20","7"
28,42,"yes",1,"yes","no","yes","male","yes",4,"no",6.05912,"21","1"
29,46,"yes",1,"yes","no","yes","male","yes",4,"no",6.05209,"21","2"
30,49,"yes",1,"yes","no","yes","male","yes",4,"no",5.99146,"21","3"
31,49,"yes",1,"yes","no","yes","male","yes",4,"no",6.21461,"21","4"
32,48,"yes",0,"yes","no","yes","male","yes",4,"no",6.32436,"21","5"
33,45,"yes",0,"yes","no","yes","male","yes",4,"no",6.44254,"21","6"
34,42,"yes",1,"yes","no","yes","male","yes",4,"no",6.44254,"21","7"
20,46,"no",0,"no","no","yes","male","no",14,"no",6.59987,"22","1"
21,45,"no",0,"no","no","yes","male","no",14,"no",6.59987,"22","2"
22,44,"no",0,"no","no","yes","male","no",14,"no",6.68461,"22","3"
23,46,"no",0,"no","no","yes","male","no",14,"no",6.72743,"22","4"
24,47,"no",0,"no","no","yes","male","no",14,"no",6.88244,"22","5"
25,51,"no",1,"no","no","yes","male","no",14,"no",6.95655,"22","6"
26,47,"no",0,"no","no","yes","male","no",14,"no",7.04752,"22","7"
11,50,"no",0,"no","yes","yes","male","no",16,"no",6.90575,"23","1"
12,50,"no",0,"no","yes","yes","male","no",16,"no",6.90575,"23","2"
13,51,"no",0,"no","yes","yes","male","no",16,"no",7.49554,"23","3"
14,50,"no",0,"no","yes","yes","male","no",16,"no",7.66153,"23","4"
15,48,"no",0,"no","yes","yes","male","no",16,"no",7.86327,"23","5"
16,47,"no",0,"no","yes","yes","male","no",16,"no",8.03916,"23","6"
17,50,"no",0,"no","yes","yes","male","no",16,"no",7.89357,"23","7"
5,30,"no",0,"no","no","no","female","no",12,"no",5.43808,"24","1"
6,51,"no",0,"no","no","no","female","no",12,"no",5.52146,"24","2"
7,51,"yes",0,"no","no","no","female","no",12,"no",5.57973,"24","3"
8,52,"yes",0,"no","no","no","female","no",12,"no",5.66988,"24","4"
9,49,"yes",0,"no","no","no","female","no",12,"no",5.73657,"24","5"
10,51,"yes",0,"no","no","no","female","yes",12,"no",5.84354,"24","6"
11,50,"yes",0,"no","no","no","female","no",12,"no",5.85793,"24","7"
8,37,"no",0,"no","yes","yes","male","yes",17,"no",6.52942,"25","1"
9,39,"no",0,"no","yes","yes","male","yes",17,"no",6.57925,"25","2"
10,40,"no",0,"no","yes","yes","male","yes",17,"no",6.71538,"25","3"
11,38,"no",0,"no","yes","yes","male","yes",17,"no",6.68461,"25","4"
12,38,"no",0,"no","yes","yes","male","yes",17,"no",6.79122,"25","5"
13,39,"no",0,"no","yes","yes","male","yes",17,"no",6.97541,"25","6"
14,41,"no",0,"no","yes","yes","male","yes",17,"no",6.90776,"25","7"
14,48,"no",1,"yes","yes","yes","male","no",15,"no",6.47697,"26","1"
15,47,"yes",1,"yes","yes","yes","male","no",15,"no",6.55108,"26","2"
16,49,"no",1,"yes","yes","yes","male","no",15,"no",6.86693,"26","3"
17,48,"no",1,"yes","yes","yes","male","no",15,"no",6.85646,"26","4"
18,47,"no",1,"yes","yes","yes","male","no",15,"no",7.27932,"26","5"
19,47,"no",1,"yes","yes","yes","male","no",15,"no",7.54961,"26","6"
20,48,"no",1,"yes","yes","yes","male","no",15,"no",7.36708,"26","7"
8,50,"no",0,"no","yes","no","male","no",16,"no",6.01616,"27","1"
9,52,"no",0,"no","yes","no","male","no",16,"no",6.90575,"27","2"
10,48,"no",0,"no","no","no","male","no",16,"no",7.04752,"27","3"
11,50,"no",0,"no","no","no","male","no",16,"no",7.26193,"27","4"
12,50,"no",0,"no","no","no","male","no",16,"no",7.09008,"27","5"
13,45,"no",0,"no","no","no","male","no",16,"no",6.96319,"27","6"
14,23,"no",0,"no","no","no","male","no",16,"no",7.31322,"27","7"
26,50,"yes",0,"no","yes","yes","male","no",12,"no",6.7334,"28","1"
27,50,"yes",0,"no","yes","yes","male","no",12,"no",6.69703,"28","2"
28,50,"yes",0,"no","yes","yes","male","no",12,"no",6.68461,"28","3"
29,50,"yes",0,"no","yes","yes","male","no",12,"no",6.74524,"28","4"
30,50,"yes",0,"no","yes","yes","male","no",12,"no",6.73102,"28","5"
31,49,"yes",0,"no","yes","yes","male","no",12,"no",6.80239,"28","6"
32,49,"yes",0,"no","yes","yes","male","no",12,"no",6.74524,"28","7"
31,49,"no",0,"no","yes","yes","male","no",14,"no",6.90575,"29","1"
32,49,"no",0,"no","yes","yes","male","no",14,"no",6.90575,"29","2"
33,49,"no",0,"no","yes","yes","male","no",14,"no",7.06219,"29","3"
34,49,"no",0,"no","yes","yes","male","no",14,"no",7.57558,"29","4"
35,50,"no",0,"no","yes","yes","male","no",14,"no",7.67322,"29","5"
36,49,"no",0,"no","yes","yes","male","no",14,"no",7.47307,"29","6"
37,49,"no",0,"no","yes","yes","male","no",14,"no",7.56008,"29","7"
17,47,"no",0,"yes","yes","no","female","no",12,"no",6.19644,"30","1"
18,47,"no",0,"yes","yes","no","female","no",12,"no",6.29895,"30","2"
19,48,"no",0,"yes","yes","no","female","no",12,"no",6.3315,"30","3"
20,49,"no",0,"yes","yes","no","female","no",12,"no",6.36303,"30","4"
21,49,"no",0,"yes","yes","no","female","no",12,"no",6.48158,"30","5"
22,45,"no",0,"yes","yes","no","female","no",12,"no",6.57786,"30","6"
23,49,"no",0,"yes","yes","no","female","no",12,"no",6.64379,"30","7"
22,48,"no",1,"no","yes","yes","male","no",17,"no",6.90575,"31","1"
23,48,"no",1,"no","yes","yes","male","no",17,"no",6.90575,"31","2"
24,48,"no",1,"no","yes","yes","male","no",17,"no",7.31322,"31","3"
25,47,"no",1,"no","yes","yes","male","no",17,"no",7.24423,"31","4"
26,43,"no",1,"no","yes","yes","male","no",17,"no",7.48437,"31","5"
27,47,"no",0,"no","yes","yes","male","no",17,"no",7.54961,"31","6"
28,45,"no",1,"no","yes","yes","male","no",17,"no",7.61332,"31","7"
30,50,"no",1,"no","yes","yes","male","no",16,"no",6.90575,"32","1"
31,49,"no",1,"no","yes","yes","male","no",16,"no",6.90575,"32","2"
32,49,"no",1,"no","yes","yes","male","no",16,"no",7.46737,"32","3"
33,48,"no",1,"no","yes","yes","male","no",16,"no",7.40853,"32","4"
34,49,"no",1,"no","yes","yes","male","no",16,"no",7.60589,"32","5"
35,47,"no",1,"no","yes","yes","male","no",16,"no",8.04879,"32","6"
36,47,"no",1,"no","yes","yes","male","no",16,"no",7.74066,"32","7"
14,51,"no",0,"no","yes","yes","male","no",16,"no",6.90575,"33","1"
15,47,"no",0,"no","yes","yes","male","no",16,"no",6.90575,"33","2"
16,51,"no",0,"no","yes","yes","male","no",16,"no",7.17012,"33","3"
17,47,"no",0,"no","yes","yes","male","no",16,"no",7.27932,"33","4"
18,48,"no",0,"no","yes","yes","male","no",16,"no",7.24065,"33","5"
19,50,"no",0,"no","yes","yes","male","no",16,"no",7.37776,"33","6"
20,49,"no",0,"no","yes","yes","male","no",16,"no",7.46737,"33","7"
45,48,"yes",0,"yes","no","yes","male","no",8,"no",5.7589,"34","1"
46,48,"yes",0,"yes","no","yes","male","no",8,"no",5.86079,"34","2"
47,48,"yes",0,"yes","no","yes","male","no",8,"no",5.82305,"34","3"
48,49,"yes",0,"yes","no","yes","male","no",8,"no",5.94803,"34","4"
49,50,"yes",0,"yes","no","yes","male","no",8,"no",6.24804,"34","5"
50,48,"yes",0,"yes","no","yes","male","no",8,"no",6.20658,"34","6"
51,46,"yes",0,"yes","no","yes","male","no",8,"no",5.98394,"34","7"
8,30,"yes",0,"no","yes","yes","male","yes",13,"yes",6.51471,"35","1"
9,49,"yes",1,"no","yes","yes","male","yes",13,"yes",6.6107,"35","2"
10,48,"yes",1,"no","yes","yes","male","yes",13,"yes",6.39693,"35","3"
11,49,"yes",1,"no","yes","yes","male","yes",13,"yes",6.75227,"35","4"
12,34,"yes",1,"no","yes","yes","male","yes",13,"yes",6.88653,"35","5"
13,48,"yes",1,"no","yes","yes","male","yes",13,"yes",7.01212,"35","6"
14,45,"yes",1,"no","yes","yes","male","yes",13,"yes",7.02554,"35","7"
15,52,"yes",0,"yes","yes","yes","male","no",10,"no",6.62007,"36","1"
16,47,"no",0,"yes","yes","yes","male","no",10,"no",6.77422,"36","2"
17,50,"no",0,"yes","no","yes","male","no",10,"no",7.1309,"36","3"
18,50,"no",0,"yes","no","yes","male","no",10,"no",7.08841,"36","4"
19,48,"no",0,"yes","yes","yes","male","no",10,"no",7.1309,"36","5"
20,50,"no",0,"yes","yes","yes","male","no",10,"no",6.90776,"36","6"
21,41,"no",0,"yes","yes","yes","male","no",10,"no",7.18007,"36","7"
12,52,"no",0,"no","yes","yes","male","no",14,"no",6.90575,"37","1"
13,47,"no",0,"no","yes","yes","male","no",14,"no",6.7417,"37","2"
14,50,"no",0,"no","yes","yes","male","no",14,"no",7.00307,"37","3"
15,49,"no",0,"no","yes","yes","male","no",14,"no",7.1309,"37","4"
16,50,"no",0,"no","yes","yes","male","no",14,"no",7.14283,"37","5"
17,48,"no",0,"no","yes","yes","male","no",14,"no",7.28276,"37","6"
18,49,"no",0,"no","yes","no","male","no",14,"no",7.40914,"37","7"
10,48,"yes",1,"no","no","yes","male","yes",12,"no",6.05209,"38","1"
11,49,"yes",1,"no","no","yes","male","yes",12,"no",6.05209,"38","2"
12,48,"yes",1,"no","no","yes","male","yes",12,"no",6.05209,"38","3"
13,48,"yes",1,"no","no","yes","male","yes",12,"no",6.36819,"38","4"
14,49,"yes",1,"no","no","yes","male","yes",12,"no",6.43615,"38","5"
15,48,"no",1,"no","no","yes","male","yes",12,"no",6.54965,"38","6"
16,49,"yes",1,"no","no","yes","male","yes",12,"no",6.52209,"38","7"
6,47,"no",0,"no","yes","yes","male","no",13,"no",6.47697,"39","1"
7,51,"no",0,"no","yes","no","male","no",13,"no",6.58617,"39","2"
8,48,"no",0,"no","yes","no","male","no",13,"no",6.47697,"39","3"
9,50,"no",0,"no","yes","no","male","no",13,"no",6.52942,"39","4"
10,50,"no",0,"no","yes","no","male","no",13,"no",6.80239,"39","5"
11,52,"no",0,"no","yes","no","male","no",13,"no",6.77992,"39","6"
12,51,"no",0,"no","yes","yes","male","no",13,"no",6.80793,"39","7"
30,47,"no",0,"yes","no","yes","male","yes",8,"no",6.35784,"40","1"
31,39,"no",0,"yes","no","yes","male","yes",8,"no",6.49979,"40","2"
32,32,"no",0,"yes","no","yes","male","yes",8,"no",6.58203,"40","3"
33,35,"no",0,"yes","no","yes","male","yes",8,"no",6.69456,"40","4"
34,47,"no",0,"yes","no","yes","male","yes",8,"no",6.78784,"40","5"
35,45,"no",0,"yes","no","yes","male","yes",8,"no",6.90776,"40","6"
36,47,"no",0,"yes","no","yes","male","yes",8,"no",7.35819,"40","7"
20,50,"no",0,"yes","yes","yes","male","no",16,"no",6.90575,"41","1"
21,50,"no",0,"yes","yes","yes","male","no",16,"no",6.90575,"41","2"
22,50,"no",0,"yes","yes","yes","male","no",16,"no",7.37776,"41","3"
23,50,"no",0,"yes","yes","yes","male","no",16,"no",7.49109,"41","4"
24,50,"no",0,"yes","yes","yes","male","no",16,"no",7.57558,"41","5"
25,48,"no",0,"yes","yes","yes","male","no",16,"no",7.52833,"41","6"
26,47,"no",0,"yes","yes","yes","male","no",16,"no",7.745,"41","7"
30,38,"yes",1,"no","yes","no","female","yes",12,"yes",6.2186,"42","1"
31,41,"yes",0,"no","yes","no","female","yes",12,"yes",6.49375,"42","2"
32,51,"yes",0,"no","yes","no","female","yes",12,"yes",6.58064,"42","3"
33,50,"yes",1,"no","yes","no","female","yes",12,"yes",6.6896,"42","4"
34,42,"yes",1,"no","yes","no","female","yes",12,"yes",6.79347,"42","5"
35,50,"yes",1,"no","yes","no","female","yes",12,"yes",6.92461,"42","6"
36,49,"yes",1,"no","yes","no","female","yes",12,"yes",7.02554,"42","7"
5,49,"no",0,"no","yes","yes","male","no",16,"no",6.68461,"43","1"
6,47,"no",0,"no","yes","yes","male","no",16,"no",6.84375,"43","2"
7,48,"no",0,"no","yes","yes","male","no",16,"no",6.90776,"43","3"
8,49,"no",0,"no","yes","yes","male","no",16,"no",7.00307,"43","4"
9,46,"no",0,"no","yes","yes","male","no",16,"no",7.1309,"43","5"
10,45,"no",0,"no","yes","yes","male","no",16,"no",7.40853,"43","6"
11,49,"no",0,"no","yes","yes","male","no",16,"no",7.43838,"43","7"
7,48,"no",1,"no","yes","yes","male","no",17,"no",6.90575,"44","1"
8,48,"no",1,"no","yes","yes","male","no",17,"no",6.90575,"44","2"
9,48,"no",1,"no","yes","yes","male","no",17,"no",7.20786,"44","3"
10,47,"no",1,"no","yes","yes","male","no",17,"no",7.31322,"44","4"
11,46,"no",1,"no","yes","yes","male","no",17,"no",7.43838,"44","5"
12,46,"no",1,"no","yes","yes","male","no",17,"no",7.49332,"44","6"
13,46,"no",1,"no","yes","yes","male","no",17,"no",7.6009,"44","7"
13,49,"no",0,"no","yes","no","female","no",13,"no",6.22456,"45","1"
14,50,"no",0,"no","yes","no","female","no",13,"no",6.33328,"45","2"
15,50,"no",0,"no","yes","no","female","no",13,"no",6.30992,"45","3"
16,50,"no",0,"no","yes","no","female","no",13,"no",6.47697,"45","4"
17,50,"no",0,"no","yes","no","female","no",13,"no",6.63332,"45","5"
18,50,"no",0,"no","yes","no","female","no",13,"no",6.68211,"45","6"
19,49,"no",0,"no","yes","no","female","no",13,"no",6.65286,"45","7"
6,42,"yes",0,"no","no","yes","male","yes",12,"no",6.12687,"46","1"
7,44,"yes",0,"no","no","yes","male","yes",12,"no",6.23245,"46","2"
8,48,"yes",0,"no","no","yes","male","yes",12,"no",6.32615,"46","3"
9,47,"yes",0,"no","no","yes","male","yes",12,"no",6.32436,"46","4"
10,48,"yes",0,"no","no","yes","male","yes",12,"no",6.4677,"46","5"
11,47,"no",0,"no","no","yes","male","yes",12,"no",6.60665,"46","6"
12,47,"yes",0,"no","no","yes","male","yes",12,"no",6.55108,"46","7"
26,48,"no",0,"no","yes","yes","male","no",14,"no",6.90575,"47","1"
27,49,"no",0,"no","yes","yes","male","no",14,"no",6.90575,"47","2"
28,48,"no",0,"no","yes","yes","male","no",14,"no",7.04752,"47","3"
29,48,"no",0,"no","yes","yes","male","no",14,"no",7.09008,"47","4"
30,48,"no",0,"no","yes","yes","male","no",14,"no",7.20786,"47","5"
31,47,"no",0,"no","yes","yes","male","no",14,"no",7.11802,"47","6"
32,48,"no",0,"no","yes","yes","male","no",14,"no",7.09008,"47","7"
26,50,"no",1,"no","yes","no","male","no",16,"no",6.90575,"48","1"
27,50,"no",1,"no","yes","no","male","no",16,"no",6.90575,"48","2"
28,50,"no",1,"no","yes","no","male","no",16,"no",7.1309,"48","3"
29,50,"no",1,"no","yes","no","male","no",16,"no",7.22621,"48","4"
30,48,"no",1,"no","yes","yes","male","no",16,"no",7.1309,"48","5"
31,41,"no",1,"no","yes","yes","male","no",16,"no",7.31322,"48","6"
32,49,"no",1,"no","yes","no","male","no",16,"no",7.43838,"48","7"
31,47,"no",1,"no","no","yes","male","no",16,"no",6.90575,"49","1"
32,46,"no",1,"no","no","yes","male","no",16,"no",6.90575,"49","2"
33,47,"no",1,"no","no","yes","male","no",16,"no",7.6009,"49","3"
34,48,"no",1,"no","no","yes","male","no",16,"no",7.67601,"49","4"
35,47,"no",1,"no","no","yes","male","no",16,"no",7.7021,"49","5"
36,49,"no",1,"no","no","yes","male","no",16,"no",7.69621,"49","6"
37,48,"no",1,"no","no","yes","male","no",16,"no",7.82084,"49","7"
31,50,"no",0,"no","yes","no","female","yes",12,"no",6.27099,"50","1"
32,45,"no",0,"no","yes","no","female","yes",12,"no",6.39859,"50","2"
33,43,"no",0,"no","yes","no","female","yes",12,"no",6.48311,"50","3"
34,48,"no",0,"no","yes","no","female","yes",12,"no",6.55678,"50","4"
35,46,"no",0,"no","yes","no","female","yes",12,"no",6.65544,"50","5"
36,32,"no",0,"no","yes","no","female","yes",12,"no",6.74876,"50","6"
37,28,"no",0,"no","yes","no","female","yes",12,"no",6.84907,"50","7"
31,45,"no",1,"no","yes","yes","male","no",17,"no",6.90575,"51","1"
32,48,"no",1,"no","yes","yes","male","no",17,"no",6.90575,"51","2"
33,48,"no",1,"no","yes","yes","male","no",17,"no",7.6009,"51","3"
34,47,"no",0,"no","yes","yes","male","no",17,"no",7.64969,"51","4"
35,48,"no",1,"no","yes","yes","male","no",17,"no",7.82405,"51","5"
36,47,"no",1,"no","yes","yes","male","no",17,"no",7.86327,"51","6"
37,44,"no",1,"no","yes","yes","male","no",17,"no",7.91936,"51","7"
25,46,"no",0,"no","yes","yes","male","no",16,"no",6.90575,"52","1"
26,49,"no",0,"no","yes","yes","male","no",16,"no",6.90575,"52","2"
27,49,"no",0,"no","yes","yes","male","no",16,"no",7.24423,"52","3"
28,48,"no",0,"no","yes","yes","male","no",16,"no",7.1309,"52","4"
