"nr","year","school","exper","union","ethn","married","health","wage","industry","occupation","residence"
209,1981,11,4,"no","other","no","no",0.7654077478,"Trade","Service_Workers","north_east"
209,1982,11,5,"no","other","no","no",1.9781854376,"Trade","Service_Workers","north_east"
209,1983,11,6,"no","other","no","no",1.94855364,"Trade","Service_Workers","north_east"
209,1984,11,7,"no","other","no","no",2.0370259376,"Entertainment","Service_Workers","north_east"
209,1985,11,8,"no","other","no","no",1.9025748356,"Trade","Managers, Officials_and_Proprietors","north_east"
209,1986,11,9,"no","other","no","no",1.9726036563,"Trade","Managers, Officials_and_Proprietors","north_east"
209,1987,11,10,"no","other","no","no",2.1869822099,"Entertainment","Managers, Officials_and_Proprietors","north_east"
212,1980,11,2,"no","other","no","no",1.7844718032,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
212,1981,11,3,"no","other","no","no",2.1799827709,"Manufacturing","Operatives_and_kindred","north_east"
212,1982,11,4,"yes","other","no","no",1.9638653838,"Manufacturing","Operatives_and_kindred","north_east"
212,1983,11,5,"no","other","no","no",2.044932767,"Manufacturing","Operatives_and_kindred","north_east"
212,1984,11,6,"no","other","no","no",2.0128613106,"Manufacturing","Clerical_and_kindred","north_east"
212,1985,11,7,"no","other","no","no",2.0969857427,"Manufacturing","Operatives_and_kindred","north_east"
212,1986,11,8,"no","other","yes","no",2.1439661499,"Manufacturing","Operatives_and_kindred","north_east"
212,1987,11,9,"yes","other","yes","no",2.241284366,"Manufacturing","Operatives_and_kindred","north_east"
218,1980,15,2,"no","other","no","no",2.0133133756,"Professional_and_Related Service","Professional, Technical_and_kindred","north_east"
218,1981,15,3,"no","other","no","no",1.9621524552,"Professional_and_Related Service","Professional, Technical_and_kindred","north_east"
218,1982,15,4,"no","other","no","no",2.2756410219,"Professional_and_Related Service","Clerical_and_kindred","north_east"
218,1983,15,5,"no","other","yes","no",2.1949175631,"Business_and_Repair_Service","Professional, Technical_and_kindred","north_east"
218,1984,15,6,"no","other","yes","no",2.4283372983,"Professional_and_Related Service","Professional, Technical_and_kindred","north_east"
218,1985,15,7,"no","other","yes","no",2.7230369434,"Business_and_Repair_Service","Clerical_and_kindred","north_east"
218,1986,15,8,"no","other","yes","no",2.9663963196,"Business_and_Repair_Service","Managers, Officials_and_Proprietors","north_east"
218,1987,15,9,"no","other","yes","no",3.065051729,"Business_and_Repair_Service","Managers, Officials_and_Proprietors","north_east"
243,1980,12,4,"no","other","no","no",1.5641813208,"Transportation","Craftsmen, Foremen_and_kindred","north_east"
243,1981,12,5,"no","other","no","no",1.6835458846,"Transportation","Managers, Officials_and_Proprietors","north_east"
243,1982,12,6,"no","other","no","yes",1.6905033652,"Public_Administration","Managers, Officials_and_Proprietors","north_east"
243,1983,12,7,"no","other","yes","no",1.6608715675,"Public_Administration","Managers, Officials_and_Proprietors","north_east"
243,1984,12,8,"no","other","yes","no",1.6980505708,"Public_Administration","Managers, Officials_and_Proprietors","north_east"
243,1985,12,9,"no","other","yes","no",1.6717682341,"Public_Administration","Managers, Officials_and_Proprietors","north_east"
243,1986,12,10,"no","other","yes","no",1.6357175299,"Public_Administration","Managers, Officials_and_Proprietors","north_east"
243,1987,12,11,"no","other","yes","no",1.7869709525,"Transportation","Managers, Officials_and_Proprietors","north_east"
259,1980,12,3,"yes","other","yes","no",2.1071895765,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
259,1981,12,4,"yes","other","yes","no",2.0890109927,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
259,1982,12,5,"yes","other","yes","no",2.0427239587,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
259,1983,12,6,"yes","other","yes","no",1.3081557728,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
259,1984,12,7,"no","other","yes","no",1.4881522462,"Manufacturing","Operatives_and_kindred","north_east"
259,1985,12,8,"no","other","yes","no",1.5428182251,"Construction","Operatives_and_kindred","north_east"
259,1986,12,9,"no","other","yes","no",1.5351347212,"Trade","Craftsmen, Foremen_and_kindred","north_east"
259,1987,12,10,"no","other","yes","no",1.4543355231,"Trade","Operatives_and_kindred","north_east"
260,1980,11,2,"yes","other","no","no",1.6299120417,"Trade","Clerical_and_kindred","north_east"
260,1981,11,3,"yes","other","no","no",1.7751130781,"Trade","Laborers_and_farmers","north_east"
260,1982,11,4,"no","other","no","no",1.9672563671,"Manufacturing","Operatives_and_kindred","north_east"
260,1983,11,5,"no","other","yes","no",2.0751862909,"Manufacturing","Professional, Technical_and_kindred","north_east"
260,1984,11,6,"no","other","yes","no",2.1288334869,"Manufacturing","Professional, Technical_and_kindred","north_east"
260,1985,11,7,"no","other","yes","no",2.2684191505,"Manufacturing","Professional, Technical_and_kindred","north_east"
260,1986,11,8,"no","other","yes","no",1.9921390959,"Manufacturing","Operatives_and_kindred","north_east"
260,1987,11,9,"no","other","yes","no",2.4215544571,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
309,1980,12,3,"no","other","no","no",1.7860756528,"Business_and_Repair_Service","Operatives_and_kindred","south"
309,1981,12,4,"no","other","no","no",2.2807660456,"Business_and_Repair_Service","Operatives_and_kindred","north_east"
309,1982,12,5,"no","other","no","no",2.2642662287,"Business_and_Repair_Service","Operatives_and_kindred","north_east"
309,1983,12,6,"no","other","yes","no",2.2754564256,"Business_and_Repair_Service","Craftsmen, Foremen_and_kindred","north_east"
309,1984,12,7,"no","other","yes","no",2.2081324236,"Business_and_Repair_Service","Operatives_and_kindred","north_east"
309,1985,12,8,"no","other","yes","no",2.1998524173,"Business_and_Repair_Service","Craftsmen, Foremen_and_kindred","north_east"
309,1986,12,9,"no","other","yes","yes",2.2068999835,"Business_and_Repair_Service","Operatives_and_kindred","north_east"
309,1987,12,10,"no","other","yes","no",2.476866911,"Manufacturing","Operatives_and_kindred","north_east"
351,1980,12,3,"no","other","no","no",1.643386879,"Finance","Clerical_and_kindred","north_east"
351,1981,12,4,"no","other","no","no",1.3355804258,"Finance","Clerical_and_kindred","north_east"
351,1982,12,5,"no","other","yes","yes",1.5228178362,"Finance","Clerical_and_kindred","north_east"
351,1983,12,6,"no","other","yes","no",1.4188513626,"Finance","Clerical_and_kindred","north_east"
351,1984,12,7,"no","other","yes","yes",0.9039274729,"Finance","Clerical_and_kindred","north_east"
351,1985,12,8,"no","other","yes","no",1.8885640985,"Transportation","Clerical_and_kindred","north_east"
351,1986,12,9,"no","other","yes","no",1.7834496472,"Professional_and_Related Service","Professional, Technical_and_kindred","north_east"
351,1987,12,10,"no","other","yes","no",1.6980083554,"Professional_and_Related Service","Professional, Technical_and_kindred","north_east"
353,1980,12,3,"no","other","no","no",1.8381972025,"Manufacturing","Operatives_and_kindred","north_east"
353,1981,12,4,"yes","other","no","no",1.8170772772,"Manufacturing","Operatives_and_kindred","north_east"
353,1982,12,5,"no","other","no","no",1.6717402666,"Trade","Craftsmen, Foremen_and_kindred","north_east"
353,1983,12,6,"no","other","no","no",1.5728305011,"Manufacturing","Operatives_and_kindred","north_east"
353,1984,12,7,"no","other","no","no",1.6825463843,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
353,1985,12,8,"no","other","no","no",1.5836402196,"Construction","Craftsmen, Foremen_and_kindred","north_east"
353,1986,12,9,"no","other","no","no",1.7732931875,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
353,1987,12,10,"no","other","no","no",1.8610789246,"Business_and_Repair_Service","Craftsmen, Foremen_and_kindred","north_east"
383,1980,12,2,"no","black","no","no",1.4628881791,"Manufacturing","Operatives_and_kindred","north_east"
383,1981,12,3,"no","black","no","no",1.5702171993,"Manufacturing","Operatives_and_kindred","north_east"
383,1982,12,4,"yes","black","no","no",1.6566018135,"Manufacturing","Operatives_and_kindred","north_east"
383,1983,12,5,"no","black","no","no",1.7254100887,"Manufacturing","Clerical_and_kindred","north_east"
383,1984,12,6,"no","black","no","no",1.7721585429,"Manufacturing","Clerical_and_kindred","north_east"
383,1985,12,7,"no","black","no","no",2.0110842344,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
383,1986,12,8,"no","black","no","no",1.9910166714,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
383,1987,12,9,"no","black","no","no",1.9520507029,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
408,1980,11,2,"no","other","no","no",1.6520949229,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
408,1981,11,3,"no","other","yes","no",1.4895349843,"Manufacturing","Operatives_and_kindred","north_east"
408,1982,11,4,"no","other","yes","no",1.8811757012,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
408,1983,11,5,"no","other","yes","no",2.0610316234,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
408,1984,11,6,"yes","other","yes","no",2.4888362209,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
408,1985,11,7,"yes","other","yes","no",2.43093808,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
408,1986,11,8,"yes","other","yes","no",2.5345603867,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
408,1987,11,9,"yes","other","yes","no",2.0696025092,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
424,1980,12,5,"no","other","yes","no",2.1658393597,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
424,1981,12,6,"no","other","yes","no",2.3253997708,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
424,1982,12,7,"no","other","yes","no",2.3836505457,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
424,1983,12,8,"no","other","yes","no",2.3372116298,"Manufacturing","Operatives_and_kindred","north_east"
424,1984,12,9,"no","other","yes","no",2.4125075379,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
424,1985,12,10,"no","other","yes","no",2.3841459185,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
424,1986,12,11,"no","other","yes","no",2.3520300169,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
424,1987,12,12,"no","other","yes","no",2.5777566026,"Manufacturing","Craftsmen, Foremen_and_kindred","north_east"
464,1980,13,2,"no","other","no","no",0.9726262551,"Trade","Managers, Officials_and_Proprietors","north_east"
464,1981,13,3,"no","other","no","no",1.0031044999,"Trade","Sales_Workers","north_east"
464,1982,13,4,"no","other","yes","no",1.0996350337,"Trade","Managers, Officials_and_Proprietors","north_east"
464,1983,13,5,"no","other","yes","no",1.2145844649,"Trade","Clerical_and_kindred","north_east"
464,1984,13,6,"no","other","yes","no",1.3192417615,"Trade","Operatives_and_kindred","north_east"
464,1985,13,7,"no","other","yes","no",1.3897424827,"Trade","Sales_Workers","north_east"
464,1986,13,8,"no","other","yes","no",1.5735380116,"Trade","Sales_Workers","north_east"
464,1987,13,9,"no","other","yes","no",1.9006997178,"Trade","Sales_Workers","north_east"
483,1980,12,5,"no","other","no","no",1.6826270761,"Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central"
483,1981,12,6,"no","other","no","no",1.661706341,"Manufacturing","Managers, Officials_and_Proprietors","nothern_central"
483,1982,12,7,"no","other","no","no",1.7550418863,"Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central"
483,1983,12,8,"yes","other","no","no",1.7534507488,"Manufacturing","Laborers_and_farmers","nothern_central"
483,1984,12,9,"no","other","no","no",1.6180078631,"Manufacturing","Operatives_and_kindred","nothern_central"
483,1985,12,10,"no","other","no","no",1.6481787408,"Manufacturing","Clerical_and_kindred","nothern_central"
483,1986,12,11,"no","other","no","no",1.7458942134,"Manufacturing","Operatives_and_kindred","nothern_central"
483,1987,12,12,"no","other","no","no",1.7270818953,"Manufacturing","Operatives_and_kindred","nothern_central"
556,1980,14,2,"no","other","no","no",1.9393454693,"Trade","Service_Workers","nothern_central"
556,1981,14,3,"no","other","no","no",2.1202635362,"Transportation","Professional, Technical_and_kindred","nothern_central"
556,1982,14,4,"no","other","no","no",2.1605069944,"Transportation","Professional, Technical_and_kindred","nothern_central"
556,1983,14,5,"no","other","no","no",2.4892541145,"Transportation","Managers, Officials_and_Proprietors","nothern_central"
556,1984,14,6,"no","other","no","no",2.3756935648,"Transportation","Professional, Technical_and_kindred","nothern_central"
556,1985,14,7,"no","other","no","no",2.2958867101,"Transportation","Managers, Officials_and_Proprietors","nothern_central"
556,1986,14,8,"no","other","no","no",2.2990901592,"Transportation","Professional, Technical_and_kindred","nothern_central"
556,1987,14,9,"no","other","no","no",2.5818793647,"Transportation","Managers, Officials_and_Proprietors","nothern_central"
560,1980,12,2,"no","other","no","no",1.3868473056,"Transportation","Service_Workers",NA
560,1981,12,3,"no","other","no","no",2.127581917,"Transportation","Service_Workers",NA
560,1982,12,4,"no","other","no","no",0.9688702001,"Transportation","Service_Workers",NA
560,1983,12,5,"no","other","no","no",1.1635989102,"Trade","Sales_Workers",NA
560,1984,12,6,"no","other","no","no",1.3566190608,"Entertainment","Professional, Technical_and_kindred",NA
560,1985,12,7,"no","other","no","no",1.4162533501,"Business_and_Repair_Service","Managers, Officials_and_Proprietors",NA
560,1986,12,8,"yes","other","no","no",1.2149831968,"Transportation","Managers, Officials_and_Proprietors",NA
560,1987,12,9,"no","other","no","no",1.6393594638,"Entertainment","Professional, Technical_and_kindred",NA
569,1980,12,2,"no","other","no","no",0.683725042,"Trade","Managers, Officials_and_Proprietors","nothern_central"
569,1981,12,3,"no","other","no","no",1.0789890175,"Trade","Sales_Workers","nothern_central"
569,1982,12,4,"no","other","no","no",0.8396357188,"Trade","Managers, Officials_and_Proprietors","nothern_central"
569,1983,12,5,"no","other","no","no",1.5075690323,"Trade","Sales_Workers","nothern_central"
569,1984,12,6,"no","other","no","no",1.0206517472,"Manufacturing","Managers, Officials_and_Proprietors","nothern_central"
569,1985,12,7,"no","other","no","no",0.5425977828,"Trade","Sales_Workers","nothern_central"
569,1986,12,8,"no","other","no","no",0.1147163143,"Trade","Sales_Workers","nothern_central"
569,1987,12,9,"no","other","no","no",0.3128517433,"Trade","Professional, Technical_and_kindred","nothern_central"
583,1980,12,4,"no","other","no","no",1.6267721601,"Trade","Managers, Officials_and_Proprietors","nothern_central"
583,1981,12,5,"no","other","no","no",1.8808750027,"Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central"
583,1982,12,6,"yes","other","no","no",1.7411964795,"Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central"
583,1983,12,7,"yes","other","no","no",2.1947885225,"Manufacturing","Operatives_and_kindred","nothern_central"
583,1984,12,8,"no","other","yes","no",2.083836121,"Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central"
583,1985,12,9,"no","other","yes","no",1.9184481847,"Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central"
583,1986,12,10,"no","other","yes","no",2.1567136329,"Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central"
583,1987,12,11,"no","other","no","no",1.9850408663,"Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central"
647,1980,12,2,"yes","other","no","no",1.3967062722,"Manufacturing","Operatives_and_kindred","nothern_central"
647,1981,12,3,"yes","other","yes","no",1.5198257537,"Manufacturing","Clerical_and_kindred","nothern_central"
647,1982,12,4,"yes","other","yes","no",1.509152973,"Manufacturing","Clerical_and_kindred","nothern_central"
647,1983,12,5,"yes","other","yes","no",1.6450416184,"Manufacturing","Clerical_and_kindred","nothern_central"
647,1984,12,6,"yes","other","no","no",1.5490149916,"Manufacturing","Clerical_and_kindred","nothern_central"
647,1985,12,7,"yes","other","yes","no",1.8269562891,"Manufacturing","Clerical_and_kindred","nothern_central"
647,1986,12,8,"yes","other","yes","no",1.883680399,"Public_Administration","Clerical_and_kindred","nothern_central"
647,1987,12,9,"yes","other","yes","no",2.0236607018,"Public_Administration","Clerical_and_kindred","nothern_central"
658,1980,12,4,"yes","other","no","no",1.7314172402,"Manufacturing","Clerical_and_kindred","nothern_central"
658,1981,12,5,"no","other","no","no",1.8137589523,"Manufacturing","Clerical_and_kindred","nothern_central"
658,1982,12,6,"yes","other","no","no",1.7000483102,"Manufacturing","Operatives_and_kindred","nothern_central"
658,1983,12,7,"yes","other","no","no",1.9396488617,"Manufacturing","Clerical_and_kindred","nothern_central"
658,1984,12,8,"no","other","no","no",1.9357527109,"Manufacturing","Clerical_and_kindred","nothern_central"
658,1985,12,9,"no","other","no","no",2.0997850049,"Manufacturing","Operatives_and_kindred","nothern_central"
658,1986,12,10,"no","other","no","no",2.1920466268,"Manufacturing","Clerical_and_kindred","nothern_central"
658,1987,12,11,"no","other","no","no",2.0051430458,"Trade","Clerical_and_kindred","nothern_central"
684,1980,12,2,"no","other","no","no",2.8217826537,"Manufacturing","Operatives_and_kindred","nothern_central"
684,1981,12,3,"no","other","no","no",2.1799827709,"Manufacturing","Operatives_and_kindred","nothern_central"
684,1982,12,4,"no","other","yes","no",2.3094266248,"Manufacturing","Craftsmen, Foremen_and_kindred","nothern_central"
684,1983,12,5,"no","other","yes","no",2.2513213499,"Manufacturing","Operatives_and_kindred","nothern_central"
684,1984,12,6,"no","other","yes","no",2.352296987,"Manufacturing","Operatives_and_kindred","nothern_central"
684,1985,12,7,"no","other","yes","no",2.3138482853,"Manufacturing","Laborers_and_farmers","nothern_central"
684,1986,12,8,"no","other","yes","no",2.2534199991,"Manufacturing","Laborers_and_farmers","nothern_central"
684,1987,12,9,"no","other","yes","no",2.4053524825,"Trade","Professional, Technical_and_kindred","nothern_central"
711,1980,11,2,"no","other","no","no",1.2320245047,"Trade","Laborers_and_farmers","nothern_central"
711,1981,11,3,"no","other","no","no",1.3664917338,"Trade","Laborers_and_farmers","nothern_central"
711,1982,11,4,"no","other","no","no",1.6905033652,"Trade","Managers, Officials_and_Proprietors","nothern_central"
711,1983,11,5,"no","other","no","no",1.6608715675,"Trade","Craftsmen, Foremen_and_kindred","nothern_central"
711,1984,11,6,"no","other","no","no",1.555876082,"Trade","Laborers_and_farmers","nothern_central"
711,1985,11,7,"no","other","no","no",-0.714125587,"Trade","Sales_Workers","nothern_central"
711,1986,11,8,"no","other","no","no",1.4684810321,"Trade","Sales_Workers","nothern_central"
711,1987,11,9,"no","other","no","no",0.5130057764,"Trade","Sales_Workers","nothern_central"
729,1980,13,2,"yes","other","yes","no",1.9595796226,"Construction","Laborers_and_farmers","nothern_central"
