"year","violent","murder","robbery","prisoners","afam","cauc","male","population","income","density","state","law"
"1993",567.3,5.8,116.7,256,2.879706,70.76588,14.46057,3.560884,15520.41,0.0343284,"Colorado","no"
"1994",509.6,5.4,106.9,262,2.920543,70.96488,14.28738,3.65391,15790.66,0.0352252,"Colorado","no"
"1995",440.2,5.8,96.2,289,2.947571,71.1405,14.21173,3.738061,16261.71,0.0360365,"Colorado","no"
"1996",404.5,4.7,98.2,292,2.973025,71.1972,14.17882,3.812716,16656.68,0.0367562,"Colorado","no"
"1997",363.2,4,83.3,322,3.003526,71.1914,14.20073,3.891293,17357.57,0.0375137,"Colorado","no"
"1998",377.9,4.6,81.5,342,3.058428,71.09323,14.23766,3.968967,18242.02,0.0382625,"Colorado","no"
"1999",340.5,4.6,75.3,357,3.094968,71.19784,14.23856,4.056133,18856.73,0.0391028,"Colorado","no"
"1977",282.3,4.2,129.5,62,2.625869,69.83115,17.53661,3.085722,14322.53,0.6346611,"Connecticut","no"
"1978",315,4.2,154.8,53,2.68661,69.85175,17.44055,3.091629,14852.16,0.635876,"Connecticut","no"
"1979",414.2,4.2,193.3,70,2.759993,69.8198,17.33737,3.095914,15052.21,0.6367573,"Connecticut","no"
"1980",412.5,4.7,218,69,2.878027,69.61651,17.24054,3.113174,15038.75,0.638993,"Connecticut","no"
"1981",448.1,5.4,246.1,68,2.987402,69.48974,17.18353,3.128839,15196.04,0.6422083,"Connecticut","no"
"1982",399.5,5.2,208.5,95,3.083773,69.11452,16.99181,3.139012,15379.9,0.6442964,"Connecticut","no"
"1983",375,4.1,200.6,114,3.172015,68.65659,16.76026,3.162343,15799,0.6490852,"Connecticut","no"
"1984",393.8,3.9,190.5,114,3.261486,68.23032,16.47208,3.180023,16859.22,0.6527141,"Connecticut","no"
"1985",402,3.8,190,119,3.348601,67.74603,16.17114,3.201128,17374.54,0.657046,"Connecticut","no"
"1986",425.8,4.6,192.2,127,3.435485,67.21826,15.87937,3.223737,18214.54,0.6616866,"Connecticut","no"
"1987",419,4.9,178.1,135,3.523706,66.7266,15.53988,3.247291,19201.91,0.6665211,"Connecticut","no"
"1988",455.4,5.4,187.6,144,3.617498,66.2566,15.22223,3.271958,20213.89,0.6715842,"Connecticut","no"
"1989",511.8,5.9,214.8,146,3.704991,65.67208,14.87585,3.283409,20714.99,0.6739345,"Connecticut","no"
"1990",553.7,5.1,234.8,194,3.790024,67.24413,14.53457,3.289056,20372.83,0.6788557,"Connecticut","no"
"1991",539.7,5.7,224.4,238,3.877986,66.6134,14.12867,3.28864,19636.85,0.6787698,"Connecticut","no"
"1992",495.3,5.1,210.9,263,3.949469,66.03352,13.75824,3.274997,20330.85,0.675954,"Connecticut","no"
"1993",456.2,6.3,196.7,268,4.025792,65.46114,13.45976,3.272325,20395.78,0.6754025,"Connecticut","no"
"1994",455.5,6.6,187.8,320,4.081422,65.08693,13.17764,3.268346,20517.5,0.6745812,"Connecticut","no"
"1995",405.9,4.6,163.2,321,4.132952,64.80254,12.9683,3.265293,20893.34,0.6739511,"Connecticut","no"
"1996",412,4.8,169.6,318,4.208807,64.68811,12.81999,3.26703,21254.72,0.6743096,"Connecticut","no"
"1997",390.9,3.8,152.9,314,4.299477,64.64516,12.72505,3.268514,22119.4,0.6746159,"Connecticut","no"
"1998",366.3,4.1,133.8,397,4.391971,64.35552,12.7314,3.272563,23133.07,0.6754516,"Connecticut","no"
"1999",345.6,3.3,123.5,372,4.480762,64.13895,12.77051,3.282031,23646.71,0.6774058,"Connecticut","no"
"1977",382.1,6,157,118,5.74693,64.15755,18.57513,0.591829,13008.97,0.2986019,"Delaware","no"
"1978",440.7,6.7,145.5,120,5.840172,64.10252,18.42085,0.594777,13229.42,0.3000893,"Delaware","no"
"1979",537.3,5.7,129.4,173,5.939507,63.96815,18.25366,0.594982,13101.23,0.3001927,"Delaware","no"
"1980",474.8,6.9,137,181,6.039646,63.20911,17.99573,0.594919,13060.83,0.3079291,"Delaware","no"
"1981",509,6.7,141.1,183,6.12362,63.02656,17.87335,0.595971,13012.81,0.3084736,"Delaware","no"
"1982",559.8,5.3,122.4,208,6.171387,62.56893,17.69248,0.599136,13134.26,0.3101118,"Delaware","no"
"1983",453.1,4.1,115.3,250,6.215406,62.10418,17.44423,0.605415,13529,0.3133618,"Delaware","no"
"1984",435.7,4.1,116,273,6.255918,61.66697,17.14883,0.611517,14208.54,0.3165202,"Delaware","no"
"1985",433.3,4.8,124.3,263,6.296459,61.20521,16.85876,0.618284,14867.86,0.3200228,"Delaware","no"
"1986",427,4.9,124.2,281,6.34046,60.80499,16.5373,0.627557,15253.93,0.3248225,"Delaware","no"
"1987",430.7,5.1,122.5,311,6.404671,60.48524,16.2124,0.636957,15727.24,0.3296879,"Delaware","no"
"1988",451.7,5.2,118.8,326,6.478223,60.15025,15.85676,0.647585,16260.7,0.3351889,"Delaware","no"
"1989",556.5,5.1,138.8,331,6.554518,59.82942,15.51852,0.658233,16806.79,0.3407003,"Delaware","no"
"1990",655.2,5,164.8,333,6.6351,61.46357,15.20903,0.669063,16486.63,0.3422317,"Delaware","no"
"1991",714.3,5.4,214.7,323,6.794319,61.005,14.92472,0.680495,16332,0.3480793,"Delaware","no"
"1992",621.2,4.6,151.2,344,6.956813,60.55497,14.65491,0.690158,16396.74,0.353022,"Delaware","no"
"1993",685.9,5,186.7,390,7.09718,60.17885,14.39437,0.699475,16414.05,0.3577877,"Delaware","no"
"1994",644.3,4.7,161.6,394,7.244331,59.73326,14.18362,0.708416,16484.16,0.3623611,"Delaware","no"
"1995",725,3.5,198.7,400,7.419685,59.49879,13.96769,0.718265,16605.71,0.367399,"Delaware","no"
"1996",668.3,4.3,179.9,413,7.576778,59.17424,13.79513,0.72709,16916.4,0.371913,"Delaware","no"
"1997",677.9,2.5,179.5,428,7.754169,58.77142,13.67493,0.735024,17019.75,0.3759713,"Delaware","no"
"1998",762.4,2.8,194.2,443,7.950773,58.3795,13.57648,0.744066,17853.42,0.3805964,"Delaware","no"
"1999",734,3.2,197.9,429,8.134692,58.07962,13.49182,0.753538,18359.2,0.3854414,"Delaware","no"
"1977",1426.5,27.8,964.5,334,25.80589,21.91194,18.15841,0.677229,15950.09,11.10212,"District of Columbia","no"
"1978",1411.7,28,939.6,330,25.82674,21.99967,18.04598,0.665051,15964.54,10.90248,"District of Columbia","no"
"1979",1608.7,27.4,1054.9,383,25.86125,22.06764,17.92189,0.650015,15552.99,10.65598,"District of Columbia","no"
"1980",2010.6,31.5,1400.6,433,25.68026,21.78043,17.60016,0.638284,14927.52,10.13149,"District of Columbia","no"
"1981",2274.8,35.1,1635.1,426,25.58024,22.42587,17.62946,0.636894,14828.88,10.10943,"District of Columbia","no"
"1982",2123.1,30.7,1448,467,25.38574,22.97488,17.52571,0.634171,15278.76,10.06621,"District of Columbia","no"
"1983",1915.4,29.4,1235.6,531,25.07103,23.42597,17.24135,0.632439,15532,10.03871,"District of Columbia","no"
"1984",1721.5,28.1,977,558,24.8133,23.85827,17.01343,0.633382,16423.83,10.05368,"District of Columbia","no"
"1985",1624.8,23.5,835.5,649,24.52111,24.20183,16.74339,0.634543,16831.9,10.07211,"District of Columbia","no"
"1986",1505.3,31,754,738,24.27641,24.54855,16.52195,0.638278,17298.27,10.1314,"District of Columbia","no"
"1987",1610.3,36.2,717.4,753,24.04692,24.80383,16.23433,0.636934,17760.13,10.11006,"District of Columbia","no"
"1988",1921.6,59.5,917.7,905,23.84928,25.05639,15.95927,0.63043,18894.48,10.00683,"District of Columbia","no"
"1989",2141.9,71.9,1083.1,1078,23.58799,25.25086,15.64346,0.624165,19521.73,9.907381,"District of Columbia","no"
"1990",2458.2,77.8,1213.5,1132,23.41714,26.08502,15.29709,0.603814,20289.77,9.89859,"District of Columbia","no"
"1991",2453.3,80.6,1215.6,1148,23.34388,25.52125,14.92299,0.593239,20517.71,9.725229,"District of Columbia","no"
"1992",2832.8,75.2,1266.4,1221,23.30794,25.4095,14.55931,0.584183,21309.23,9.576771,"District of Columbia","no"
"1993",2921.8,78.5,1229.6,1287,22.92985,25.70434,14.05723,0.576358,21817.18,9.448492,"District of Columbia","no"
"1994",2662.6,70,1107.2,1549,22.56992,26.08649,13.6392,0.564982,22003.3,9.262,"District of Columbia","no"
"1995",2661.4,65,1239,1782,22.26011,26.44189,13.2945,0.551273,21611.43,9.037263,"District of Columbia","no"
"1996",2469.8,73.1,1186.7,1650,21.94686,27.00581,12.88547,0.538273,21844.64,8.824147,"District of Columbia","no"
"1997",2024.2,56.9,850.9,1611,21.79755,27.66836,12.6583,0.528752,22473.37,8.668065,"District of Columbia","no"
"1998",1718.5,49.7,689.5,1682,21.84068,28.44929,12.41844,0.521426,22892.34,8.547967,"District of Columbia","no"
"1999",1627.7,46.4,644.3,1913,21.66975,29.27457,12.21368,0.519,23399.74,8.508196,"District of Columbia","no"
"1977",686.8,10.2,187.9,211,5.08674,60.00757,16.37442,8.856183,11524.44,0.1637305,"Florida","no"
"1978",765.6,11,206,221,5.038732,59.9397,16.13016,9.102032,12103.29,0.1682757,"Florida","no"
"1979",833.9,12.2,249.4,239,5.018184,60.12845,15.97145,9.426159,12181.99,0.1742681,"Florida","no"
"1980",983.5,14.5,355.5,220,5.078043,59.85242,15.73494,9.839835,12149.24,0.1817043,"Florida","no"
"1981",965.1,15,348.9,208,5.139825,59.93149,15.72342,10.19278,12269.72,0.1882218,"Florida","no"
"1982",896.8,13.5,297.6,224,5.180603,59.84478,15.58158,10.47141,12166.25,0.1933671,"Florida","no"
"1983",826.7,11.2,263.4,261,5.210392,59.69122,15.42759,10.74984,12637,0.1985088,"Florida","no"
"1984",868,11.5,276.2,235,5.222791,59.50279,15.17453,11.03992,13199.68,0.2038653,"Florida","no"
"1985",941.1,11.4,312.4,242,5.236619,59.25166,14.92604,11.35112,13616.83,0.2096121,"Florida","no"
"1986",1036.5,11.7,366.8,247,5.24706,58.90889,14.66731,11.6675,14019.51,0.2154544,"Florida","no"
"1987",1024.4,11.4,356.6,272,5.271782,58.623,14.38565,11.99729,14395.95,0.2215443,"Florida","no"
"1988",1117.7,11.4,403.3,265,5.288664,58.21194,14.08954,12.3064,14813.31,0.2272523,"Florida","yes"
"1989",1109.4,11.1,404,278,5.319287,57.87771,13.86584,12.63771,15293.13,0.2333704,"Florida","yes"
"1990",1244.3,10.7,416.8,307,5.353076,59.33008,13.6879,13.01836,15129.51,0.2410942,"Florida","yes"
"1991",1184.3,9.4,399.8,336,5.456843,58.97432,13.38398,13.2895,14758.16,0.2461155,"Florida","yes"
"1992",1207.2,9,366.9,344,5.591074,58.52879,13.16867,13.50478,14669.31,0.2501023,"Florida","yes"
"1993",1206,8.9,357.6,355,5.693723,57.94917,12.93066,13.71359,14918.23,0.2539695,"Florida","yes"
"1994",1146.8,8.3,328.8,384,5.809861,57.54924,12.71791,13.9618,15012.48,0.2585662,"Florida","yes"
"1995",1071,7.3,299.9,406,5.931224,57.33018,12.58249,14.1854,15376.85,0.2627072,"Florida","yes"
"1996",1051,7.5,289.2,447,6.044211,57.11045,12.51724,14.42691,15631.16,0.2671799,"Florida","yes"
"1997",1023.6,6.9,276.1,439,6.174477,57.02666,12.50534,14.68335,15972.74,0.271929,"Florida","yes"
"1998",938.7,6.5,242.7,437,6.283623,57.05493,12.50831,14.90823,16454.84,0.2760937,"Florida","yes"
"1999",854,5.7,211.6,447,6.394272,57.11421,12.52576,15.11124,16613.04,0.2798534,"Florida","yes"
"1977",439.8,11.7,140.5,225,8.995614,55.27949,18.80287,5.219699,10227.32,0.0898817,"Georgia","no"
"1978",482.8,14.4,166.3,224,9.080371,55.13272,18.61688,5.295753,10679.19,0.0911913,"Georgia","no"
"1979",558.7,17.1,213.7,216,9.193938,54.98414,18.44075,5.401385,10594.58,0.0930103,"Georgia","no"
"1980",555.3,13.8,197.6,224,9.368551,54.87352,18.32683,5.486174,10245.07,0.094498,"Georgia","no"
"1981",548.2,17.2,196.4,219,9.516834,54.79004,18.21969,5.568343,10340.76,0.0959133,"Georgia","no"
"1982",478.2,12.6,154.6,220,9.618777,54.68195,18.08953,5.649793,10375.73,0.0973163,"Georgia","no"
"1983",456.7,8.4,144.2,247,9.689654,54.56527,17.91106,5.728254,10849,0.0986677,"Georgia","no"
"1984",478.6,9.4,144.1,259,9.735667,54.50443,17.67456,5.834957,11685.42,0.1005057,"Georgia","no"
"1985",507.2,10.4,164.2,254,9.769167,54.40846,17.43874,5.962668,12170.42,0.1027055,"Georgia","no"
"1986",587.6,11.2,213.9,251,9.778049,54.31058,17.17435,6.08466,12716.91,0.1048067,"Georgia","no"
"1987",576.5,11.8,209.2,265,9.782475,54.23222,16.87653,6.20847,12997.14,0.1069393,"Georgia","no"
"1988",665.3,11.7,243.6,282,9.798496,54.05778,16.63891,6.316153,13367.59,0.1087941,"Georgia","no"
