"year","country","opec","com","pop","gdp","sr"
1967,"BENIN","no","no",2457,1148,4.4
1968,"BENIN","no","no",2522,1103,5.3
1969,"BENIN","no","no",2589,1059,5.7
1970,"BENIN","no","no",2657,1118,4.1
1971,"BENIN","no","no",2727,1098,3.9
1972,"BENIN","no","no",2800,1132,5.3
1973,"BENIN","no","no",2875,1149,5.2
1974,"BENIN","no","no",2951,1110,7.6
1975,"BENIN","no","no",3029,1052,7.8
1976,"BENIN","no","no",3107,1002,8
1977,"BENIN","no","no",3189,1023,7
1978,"BENIN","no","no",3275,1017,6.5
1979,"BENIN","no","no",3367,1056,8.7
1980,"BENIN","no","no",3464,1114,10.8
1981,"BENIN","no","no",3568,1177,11.3
1982,"BENIN","no","no",3678,1018,17.5
1983,"BENIN","no","no",3794,1008,10.5
1984,"BENIN","no","no",3916,1033,7.4
1985,"BENIN","no","no",4043,1108,5
1960,"BOTSWANA","no","no",481,535,4.9
1961,"BOTSWANA","no","no",494,559,6
1962,"BOTSWANA","no","no",507,582,7.3
1963,"BOTSWANA","no","no",521,592,8.1
1964,"BOTSWANA","no","no",535,609,10.1
1965,"BOTSWANA","no","no",549,574,3.4
1966,"BOTSWANA","no","no",563,577,13.1
1967,"BOTSWANA","no","no",579,688,14.5
1968,"BOTSWANA","no","no",594,769,19.7
1969,"BOTSWANA","no","no",609,804,11.1
1970,"BOTSWANA","no","no",624,823,27.1
1971,"BOTSWANA","no","no",647,875,33.8
1972,"BOTSWANA","no","no",673,1013,38
1973,"BOTSWANA","no","no",700,1197,38.6
1974,"BOTSWANA","no","no",727,1362,33.1
1975,"BOTSWANA","no","no",755,1335,28.5
1976,"BOTSWANA","no","no",783,1455,24.2
1977,"BOTSWANA","no","no",811,1412,17.8
1978,"BOTSWANA","no","no",840,1620,20.5
1979,"BOTSWANA","no","no",870,1735,22.7
1980,"BOTSWANA","no","no",902,1940,25.3
1981,"BOTSWANA","no","no",934,1973,25.2
1982,"BOTSWANA","no","no",967,1980,25.4
1983,"BOTSWANA","no","no",1002,1873,18
1984,"BOTSWANA","no","no",1038,1947,16.7
1985,"BOTSWANA","no","no",1075,2337,20.8
1960,"BURKINA FASO","no","no",4340,456,2.4
1961,"BURKINA FASO","no","no",4483,413,3.2
1962,"BURKINA FASO","no","no",4630,428,3.4
1963,"BURKINA FASO","no","no",4783,403,3.3
1964,"BURKINA FASO","no","no",4940,405,3.3
1965,"BURKINA FASO","no","no",5103,373,5.1
1966,"BURKINA FASO","no","no",5207,367,5
1967,"BURKINA FASO","no","no",5313,399,4.3
1968,"BURKINA FASO","no","no",5419,411,4.3
1969,"BURKINA FASO","no","no",5526,411,5.1
1970,"BURKINA FASO","no","no",5633,374,5.7
1971,"BURKINA FASO","no","no",5741,374,7.8
1972,"BURKINA FASO","no","no",5848,377,9.7
1973,"BURKINA FASO","no","no",5959,376,11.2
1974,"BURKINA FASO","no","no",6076,393,11.6
1975,"BURKINA FASO","no","no",6202,416,10.6
1976,"BURKINA FASO","no","no",6341,435,10.1
1977,"BURKINA FASO","no","no",6487,448,8.7
1978,"BURKINA FASO","no","no",6639,445,8.8
1979,"BURKINA FASO","no","no",6798,461,6.9
1980,"BURKINA FASO","no","no",6962,457,7
1981,"BURKINA FASO","no","no",7132,466,6.7
1982,"BURKINA FASO","no","no",7308,512,7.8
1983,"BURKINA FASO","no","no",7491,502,7.1
1984,"BURKINA FASO","no","no",7682,474,7.5
1985,"BURKINA FASO","no","no",7881,495,12.3
1960,"BURUNDI","no","no",2927,640,1.4
1961,"BURUNDI","no","no",2967,615,1.6
1962,"BURUNDI","no","no",3007,512,2
1963,"BURUNDI","no","no",3048,512,1.8
1964,"BURUNDI","no","no",3089,453,1.7
1965,"BURUNDI","no","no",3131,390,2
1966,"BURUNDI","no","no",3174,403,1.9
1967,"BURUNDI","no","no",3217,419,2
1968,"BURUNDI","no","no",3261,419,2.8
1969,"BURUNDI","no","no",3305,415,3.1
1970,"BURUNDI","no","no",3350,341,3.5
1971,"BURUNDI","no","no",3537,450,4.5
1972,"BURUNDI","no","no",3561,431,1.4
1973,"BURUNDI","no","no",3591,447,2.8
1974,"BURUNDI","no","no",3630,434,4.8
1975,"BURUNDI","no","no",3680,447,3.3
1976,"BURUNDI","no","no",3744,451,4.8
1977,"BURUNDI","no","no",3825,508,6.2
1978,"BURUNDI","no","no",3920,489,7.3
1979,"BURUNDI","no","no",4023,487,7.3
1980,"BURUNDI","no","no",4130,480,6.9
1981,"BURUNDI","no","no",4243,506,7.8
1982,"BURUNDI","no","no",4362,503,6.4
1983,"BURUNDI","no","no",4486,487,11.2
1984,"BURUNDI","no","no",4616,483,9.1
1985,"BURUNDI","no","no",4750,527,6.9
1960,"CAMEROON","no","no",5332,641,3.7
1961,"CAMEROON","no","no",5427,660,4.1
1962,"CAMEROON","no","no",5524,698,4
1963,"CAMEROON","no","no",5623,677,4.2
1964,"CAMEROON","no","no",5723,657,6.5
1965,"CAMEROON","no","no",5825,673,5.6
1966,"CAMEROON","no","no",5955,676,6.3
1967,"CAMEROON","no","no",6088,740,6.1
1968,"CAMEROON","no","no",6225,785,5.5
1969,"CAMEROON","no","no",6364,808,5
1970,"CAMEROON","no","no",6506,804,6.5
1971,"CAMEROON","no","no",6664,811,7.7
1972,"CAMEROON","no","no",6836,815,7.9
1973,"CAMEROON","no","no",7022,830,8.1
1974,"CAMEROON","no","no",7223,902,6.7
1975,"CAMEROON","no","no",7439,859,7.9
1976,"CAMEROON","no","no",7671,888,6.9
1977,"CAMEROON","no","no",7921,894,9.1
1978,"CAMEROON","no","no",8183,972,12
1979,"CAMEROON","no","no",8445,1072,10.1
1980,"CAMEROON","no","no",8701,1194,9.8
1981,"CAMEROON","no","no",8954,1294,12.4
1982,"CAMEROON","no","no",9205,1281,12.4
1983,"CAMEROON","no","no",9457,1342,12.3
1984,"CAMEROON","no","no",9710,1403,10.7
1985,"CAMEROON","no","no",9969,1487,10.7
1960,"CAPE VERDE IS.","no","no",197,469,29.5
1961,"CAPE VERDE IS.","no","no",203,495,29.6
1962,"CAPE VERDE IS.","no","no",210,442,23.8
1963,"CAPE VERDE IS.","no","no",217,411,16.3
1964,"CAPE VERDE IS.","no","no",224,429,15.5
1965,"CAPE VERDE IS.","no","no",232,427,17.8
1966,"CAPE VERDE IS.","no","no",239,476,19.7
1967,"CAPE VERDE IS.","no","no",247,589,12.9
1968,"CAPE VERDE IS.","no","no",254,588,16
1969,"CAPE VERDE IS.","no","no",262,598,20.5
1970,"CAPE VERDE IS.","no","no",267,634,22.1
1971,"CAPE VERDE IS.","no","no",270,559,21
1972,"CAPE VERDE IS.","no","no",273,543,19.9
1973,"CAPE VERDE IS.","no","no",275,531,18.1
1974,"CAPE VERDE IS.","no","no",277,464,21.8
1975,"CAPE VERDE IS.","no","no",278,483,18.2
1976,"CAPE VERDE IS.","no","no",279,547,24.7
1977,"CAPE VERDE IS.","no","no",281,606,31.6
1978,"CAPE VERDE IS.","no","no",283,670,24.8
1979,"CAPE VERDE IS.","no","no",285,712,30.5
1980,"CAPE VERDE IS.","no","no",289,934,26.2
1981,"CAPE VERDE IS.","no","no",294,892,30
1982,"CAPE VERDE IS.","no","no",300,899,34
1983,"CAPE VERDE IS.","no","no",307,957,32
1984,"CAPE VERDE IS.","no","no",315,1004,28.7
1985,"CAPE VERDE IS.","no","no",324,1052,28.5
1960,"CENTRAL AFR.R.","no","no",1605,704,7.3
1961,"CENTRAL AFR.R.","no","no",1630,722,8.6
1962,"CENTRAL AFR.R.","no","no",1656,691,9.4
1963,"CENTRAL AFR.R.","no","no",1682,666,9.1
1964,"CENTRAL AFR.R.","no","no",1708,683,9.4
1965,"CENTRAL AFR.R.","no","no",1735,663,9.6
1966,"CENTRAL AFR.R.","no","no",1763,656,9.7
1967,"CENTRAL AFR.R.","no","no",1791,673,11.5
1968,"CENTRAL AFR.R.","no","no",1820,698,7.8
1969,"CENTRAL AFR.R.","no","no",1849,720,7.7
1970,"CENTRAL AFR.R.","no","no",1879,747,7.8
1971,"CENTRAL AFR.R.","no","no",1902,731,8.2
1972,"CENTRAL AFR.R.","no","no",1928,734,8.1
1973,"CENTRAL AFR.R.","no","no",1958,731,8.3
1974,"CENTRAL AFR.R.","no","no",1993,721,5.2
1975,"CENTRAL AFR.R.","no","no",2034,711,4.3
1976,"CENTRAL AFR.R.","no","no",2081,733,4.3
1977,"CENTRAL AFR.R.","no","no",2137,763,4
1978,"CENTRAL AFR.R.","no","no",2197,776,3.8
1979,"CENTRAL AFR.R.","no","no",2259,738,3.3
1980,"CENTRAL AFR.R.","no","no",2320,706,2.3
1981,"CENTRAL AFR.R.","no","no",2374,648,3
1982,"CENTRAL AFR.R.","no","no",2433,670,4
1983,"CENTRAL AFR.R.","no","no",2496,586,6.7
1984,"CENTRAL AFR.R.","no","no",2563,622,6.8
1985,"CENTRAL AFR.R.","no","no",2631,630,6.7
1960,"CHAD","no","no",3064,756,1.7
1961,"CHAD","no","no",3118,754,1.9
1962,"CHAD","no","no",3174,805,1.5
1963,"CHAD","no","no",3230,766,2
1964,"CHAD","no","no",3287,744,2
1965,"CHAD","no","no",3345,736,1.5
1966,"CHAD","no","no",3404,767,1.4
1967,"CHAD","no","no",3465,743,1.7
1968,"CHAD","no","no",3526,646,1.8
1969,"CHAD","no","no",3588,763,1.7
1970,"CHAD","no","no",3652,660,3.2
1971,"CHAD","no","no",3723,650,3.2
1972,"CHAD","no","no",3796,662,3
1973,"CHAD","no","no",3871,722,-0.6
1974,"CHAD","no","no",3949,576,3.7
1975,"CHAD","no","no",4030,592,4.4
1976,"CHAD","no","no",4113,637,3.3
1977,"CHAD","no","no",4199,648,3.6
1978,"CHAD","no","no",4288,628,2.9
1979,"CHAD","no","no",4381,574,2.8
1980,"CHAD","no","no",4477,528,2.4
1981,"CHAD","no","no",4577,469,1.6
1982,"CHAD","no","no",4680,370,0.5
1983,"CHAD","no","no",4788,300,0.6
1984,"CHAD","no","no",4900,310,1
1985,"CHAD","no","no",5018,409,1.4
1960,"COMOROS","no","no",195,543,8.1
1961,"COMOROS","no","no",200,545,7.7
1962,"COMOROS","no","no",210,564,11.5
1963,"COMOROS","no","no",215,647,9.6
1964,"COMOROS","no","no",225,679,11.2
1965,"COMOROS","no","no",240,646,13.3
1966,"COMOROS","no","no",244,688,14.2
1967,"COMOROS","no","no",250,734,12.9
1968,"COMOROS","no","no",255,721,10.6
1969,"COMOROS","no","no",260,711,10.2
1970,"COMOROS","no","no",266,693,15.2
1971,"COMOROS","no","no",272,749,14.3
1972,"COMOROS","no","no",279,730,16.7
1973,"COMOROS","no","no",285,743,16.7
1974,"COMOROS","no","no",292,849,17
1975,"COMOROS","no","no",298,721,14.9
1976,"COMOROS","no","no",304,557,11
1977,"COMOROS","no","no",310,556,11.1
1978,"COMOROS","no","no",316,588,12.4
1979,"COMOROS","no","no",324,611,14.9
1980,"COMOROS","no","no",333,631,21.1
1981,"COMOROS","no","no",343,637,17.4
1982,"COMOROS","no","no",355,650,18.8
1983,"COMOROS","no","no",367,657,18.4
1984,"COMOROS","no","no",381,660,22.7
1985,"COMOROS","no","no",395,643,17.7
1960,"CONGO","no","no",950,1123,17
1961,"CONGO","no","no",972,1124,22.7
1962,"CONGO","no","no",995,1127,13.3
1963,"CONGO","no","no",1018,1069,8.6
1964,"CONGO","no","no",1042,1062,7.9
1965,"CONGO","no","no",1066,1084,8.9
1966,"CONGO","no","no",1093,1120,12.3
1967,"CONGO","no","no",1121,1240,14.2
1968,"CONGO","no","no",1149,1230,15.2
1969,"CONGO","no","no",1178,1404,13
1970,"CONGO","no","no",1208,1670,7.6
1971,"CONGO","no","no",1239,1680,8.6
1972,"CONGO","no","no",1271,1700,9.7
1973,"CONGO","no","no",1304,1710,11
1974,"CONGO","no","no",1340,1712,12.6
1975,"CONGO","no","no",1380,1726,14.3
1976,"CONGO","no","no",1424,1795,10.2
1977,"CONGO","no","no",1472,1639,8.7
1978,"CONGO","no","no",1522,1742,6.3
1979,"CONGO","no","no",1575,1725,6.6
1980,"CONGO","no","no",1630,1931,8.5
1981,"CONGO","no","no",1688,2044,14
1982,"CONGO","no","no",1748,2529,14.9
1983,"CONGO","no","no",1811,2550,12.1
1984,"CONGO","no","no",1874,2723,9.7
1985,"CONGO","no","no",1938,2697,9
1960,"EGYPT","no","no",25831,809,3.5
1961,"EGYPT","no","no",26578,815,3.8
1962,"EGYPT","no","no",27255,862,4.1
1963,"EGYPT","no","no",27946,908,4.6
1964,"EGYPT","no","no",28660,1017,3.9
1965,"EGYPT","no","no",29387,1024,4.4
1966,"EGYPT","no","no",30204,1015,3.7
1967,"EGYPT","no","no",30891,1013,3.2
1968,"EGYPT","no","no",31595,1072,2.7
1969,"EGYPT","no","no",32316,1111,2.8
1970,"EGYPT","no","no",33053,1163,2.7
1971,"EGYPT","no","no",33648,1206,2.2
1972,"EGYPT","no","no",34253,1204,2.3
1973,"EGYPT","no","no",34886,1182,3
1974,"EGYPT","no","no",35561,1175,4.3
1975,"EGYPT","no","no",36289,1293,6.1
1976,"EGYPT","no","no",37080,1371,5.6
1977,"EGYPT","no","no",37945,1406,6
1978,"EGYPT","no","no",38874,1465,6.2
1979,"EGYPT","no","no",39855,1525,6.5
1980,"EGYPT","no","no",40875,1645,5.8
1981,"EGYPT","no","no",41936,1722,5.9
1982,"EGYPT","no","no",43036,1732,6.4
1983,"EGYPT","no","no",44169,1808,6.2
1984,"EGYPT","no","no",45330,1908,6.3
1985,"EGYPT","no","no",46511,1953,6.5
1960,"ETHIOPIA","no","no",22536,257,5.3
1961,"ETHIOPIA","no","no",23083,261,5.4
1962,"ETHIOPIA","no","no",23644,265,5.6
1963,"ETHIOPIA","no","no",24217,268,5.7
1964,"ETHIOPIA","no","no",24808,277,5.3
1965,"ETHIOPIA","no","no",25410,290,5.3
1966,"ETHIOPIA","no","no",26078,294,5.7
1967,"ETHIOPIA","no","no",26767,290,6.7
1968,"ETHIOPIA","no","no",27470,296,6.6
1969,"ETHIOPIA","no","no",28193,302,6
1970,"ETHIOPIA","no","no",28937,296,4.9
1971,"ETHIOPIA","no","no",29646,300,5
1972,"ETHIOPIA","no","no",30412,308,5.4
1973,"ETHIOPIA","no","no",31224,306,4.9
1974,"ETHIOPIA","no","no",32074,300,4.3
1975,"ETHIOPIA","no","no",32954,306,4.4
1976,"ETHIOPIA","no","no",33860,302,5.2
1977,"ETHIOPIA","no","no",34790,306,5.1
1978,"ETHIOPIA","no","no",35741,315,3
1979,"ETHIOPIA","no","no",36716,316,3.4
1980,"ETHIOPIA","no","no",37717,322,3.7
1981,"ETHIOPIA","no","no",38740,322,4
1982,"ETHIOPIA","no","no",39776,322,4.6
1983,"ETHIOPIA","no","no",40859,332,4.6
1984,"ETHIOPIA","no","no",42040,318,4.9
1985,"ETHIOPIA","no","no",43350,299,3.8
1960,"GABON","no","no",460,1789,20.4
1961,"GABON","no","no",464,1979,23
1962,"GABON","no","no",468,2112,21.1
1963,"GABON","no","no",473,2373,15
1964,"GABON","no","no",477,2462,12.4
1965,"GABON","no","no",482,2587,11.7
1966,"GABON","no","no",486,2690,14.7
1967,"GABON","no","no",490,2726,12.1
1968,"GABON","no","no",495,3311,15.3
1969,"GABON","no","no",499,3654,15
1970,"GABON","no","no",504,3704,14.5
1971,"GABON","no","no",525,3868,15.3
1972,"GABON","no","no",550,4047,16.6
1973,"GABON","no","no",578,4179,17.6
1974,"GABON","no","no",607,5030,39.1
1975,"GABON","no","no",637,5690,40.8
1976,"GABON","no","no",668,6965,45.5
1977,"GABON","no","no",698,6170,38.4
1978,"GABON","no","no",728,5408,15.9
1979,"GABON","no","no",761,4842,21
1980,"GABON","no","no",797,4797,20.8
1981,"GABON","no","no",835,4504,31
1982,"GABON","no","no",875,4226,29.4
1983,"GABON","no","no",916,4301,26.3
1984,"GABON","no","no",957,4458,25.6
1985,"GABON","no","no",997,4072,29.4
1960,"GAMBIA","no","no",372,602,2
1961,"GAMBIA","no","no",381,563,2
1962,"GAMBIA","no","no",389,537,2.7
1963,"GAMBIA","no","no",398,638,1.8
1964,"GAMBIA","no","no",408,611,2.4
1965,"GAMBIA","no","no",417,724,2.6
1966,"GAMBIA","no","no",426,747,2.7
1967,"GAMBIA","no","no",435,725,2.3
1968,"GAMBIA","no","no",444,728,1.9
1969,"GAMBIA","no","no",453,727,1.2
1970,"GAMBIA","no","no",463,722,1.5
1971,"GAMBIA","no","no",476,865,1.6
1972,"GAMBIA","no","no",489,856,2.1
1973,"GAMBIA","no","no",502,869,1.8
1974,"GAMBIA","no","no",517,881,1.9
1975,"GAMBIA","no","no",533,799,5.3
1976,"GAMBIA","no","no",552,982,4.3
1977,"GAMBIA","no","no",571,1002,5.6
1978,"GAMBIA","no","no",591,1179,9.3
1979,"GAMBIA","no","no",612,1031,7.9
1980,"GAMBIA","no","no",634,1017,8.6
1981,"GAMBIA","no","no",656,889,9.8
1982,"GAMBIA","no","no",678,872,9.1
1983,"GAMBIA","no","no",701,721,8.6
1984,"GAMBIA","no","no",724,801,8.5
1985,"GAMBIA","no","no",748,769,5.9
1960,"GHANA","no","no",6827,894,11
1961,"GHANA","no","no",7010,939,8.5
1962,"GHANA","no","no",7198,930,7.9
1963,"GHANA","no","no",7392,934,9.3
1964,"GHANA","no","no",7591,904,11.1
1965,"GHANA","no","no",7794,883,10.7
1966,"GHANA","no","no",7958,862,8.9
1967,"GHANA","no","no",8123,902,6.7
1968,"GHANA","no","no",8294,911,5.7
1969,"GHANA","no","no",8467,928,6.3
1970,"GHANA","no","no",8614,1059,7
1971,"GHANA","no","no",8877,1040,7.3
1972,"GHANA","no","no",9138,942,4.1
1973,"GHANA","no","no",9388,973,5
1974,"GHANA","no","no",9621,1091,6.4
1975,"GHANA","no","no",9835,914,6.3
1976,"GHANA","no","no",10023,868,5.2
1977,"GHANA","no","no",10177,918,7
1978,"GHANA","no","no",10322,1027,4.1
1979,"GHANA","no","no",10501,949,4.6
1980,"GHANA","no","no",10740,976,4
1981,"GHANA","no","no",11030,936,3.7
1982,"GHANA","no","no",11366,795,3.2
1983,"GHANA","no","no",11747,770,3.2
1984,"GHANA","no","no",12168,785,3.5
1985,"GHANA","no","no",12620,792,4.2
1960,"GUINEA","no","no",3850,559,5.2
1961,"GUINEA","no","no",3905,602,6.1
1962,"GUINEA","no","no",3962,589,8.1
1963,"GUINEA","no","no",4020,586,5.2
1964,"GUINEA","no","no",4078,530,6.4
1965,"GUINEA","no","no",4137,545,7.2
1966,"GUINEA","no","no",4205,554,8.1
1967,"GUINEA","no","no",4274,525,7.2
1968,"GUINEA","no","no",4345,528,6.9
1969,"GUINEA","no","no",4417,519,6.6
1970,"GUINEA","no","no",4490,467,7.6
1971,"GUINEA","no","no",3909,572,6.8
1972,"GUINEA","no","no",3969,541,7.8
1973,"GUINEA","no","no",4031,573,7.7
1974,"GUINEA","no","no",4091,643,7.4
1975,"GUINEA","no","no",4149,686,7.1
1976,"GUINEA","no","no",4201,744,6.1
1977,"GUINEA","no","no",4256,756,4.5
1978,"GUINEA","no","no",4317,769,5.2
1979,"GUINEA","no","no",4385,760,5.6
1980,"GUINEA","no","no",4461,817,5.4
1981,"GUINEA","no","no",4547,770,5.3
1982,"GUINEA","no","no",4643,782,5.3
1983,"GUINEA","no","no",4749,747,4.7
1984,"GUINEA","no","no",4864,699,4.5
1985,"GUINEA","no","no",4987,712,4.6
1960,"GUINEA-BISS","no","no",540,503,24.5
1961,"GUINEA-BISS","no","no",537,489,23.3
1962,"GUINEA-BISS","no","no",534,498,24
1963,"GUINEA-BISS","no","no",531,580,19.3
1964,"GUINEA-BISS","no","no",528,606,19.1
1965,"GUINEA-BISS","no","no",525,612,16.3
1966,"GUINEA-BISS","no","no",525,553,17.8
1967,"GUINEA-BISS","no","no",525,624,17.9
1968,"GUINEA-BISS","no","no",526,646,16.9
1969,"GUINEA-BISS","no","no",526,743,17.4
1970,"GUINEA-BISS","no","no",526,699,31
1971,"GUINEA-BISS","no","no",536,749,24
1972,"GUINEA-BISS","no","no",551,831,18.1
1973,"GUINEA-BISS","no","no",572,856,13.8
1974,"GUINEA-BISS","no","no",597,872,10.2
1975,"GUINEA-BISS","no","no",627,770,10.4
1976,"GUINEA-BISS","no","no",661,749,11.2
1977,"GUINEA-BISS","no","no",701,595,15.3
1978,"GUINEA-BISS","no","no",742,619,18.4
1979,"GUINEA-BISS","no","no",779,556,24.3
1980,"GUINEA-BISS","no","no",809,471,19.4
1981,"GUINEA-BISS","no","no",824,573,13
1982,"GUINEA-BISS","no","no",839,633,14.9
1983,"GUINEA-BISS","no","no",854,606,14.8
1984,"GUINEA-BISS","no","no",870,627,14.8
1985,"GUINEA-BISS","no","no",886,650,15.5
1960,"IVORY COAST","no","no",3813,1120,9.3
1961,"IVORY COAST","no","no",3956,1155,11.2
1962,"IVORY COAST","no","no",4104,1181,7.8
1963,"IVORY COAST","no","no",4258,1281,9.8
1964,"IVORY COAST","no","no",4418,1422,12.1
1965,"IVORY COAST","no","no",4583,1400,11.6
1966,"IVORY COAST","no","no",4755,1407,12
1967,"IVORY COAST","no","no",4931,1400,10.9
1968,"IVORY COAST","no","no",5119,1515,10.9
1969,"IVORY COAST","no","no",5311,1497,12.5
1970,"IVORY COAST","no","no",5510,1615,14.1
1971,"IVORY COAST","no","no",5742,1658,13
1972,"IVORY COAST","no","no",5982,1655,12
1973,"IVORY COAST","no","no",6231,1694,14.1
1974,"IVORY COAST","no","no",6489,1721,13.1
1975,"IVORY COAST","no","no",6755,1816,12.3
1976,"IVORY COAST","no","no",7037,1970,13.7
1977,"IVORY COAST","no","no",7323,2060,18
1978,"IVORY COAST","no","no",7612,2237,18.5
1979,"IVORY COAST","no","no",7902,2228,16.7
1980,"IVORY COAST","no","no",8194,1790,14.5
1981,"IVORY COAST","no","no",8487,1790,13.4
1982,"IVORY COAST","no","no",8777,1697,12.4
1983,"IVORY COAST","no","no",9076,1618,9.4
1984,"IVORY COAST","no","no",9399,1539,3.8
1985,"IVORY COAST","no","no",9755,1545,6.7
1960,"KENYA","no","no",8049,659,23.2
1961,"KENYA","no","no",8341,563,16.9
1962,"KENYA","no","no",8643,589,14.4
1963,"KENYA","no","no",8958,622,15.7
1964,"KENYA","no","no",9283,622,12.7
1965,"KENYA","no","no",9620,614,13.4
1966,"KENYA","no","no",9970,660,16.3
1967,"KENYA","no","no",10331,679,17.5
1968,"KENYA","no","no",10707,698,17.8
1969,"KENYA","no","no",11094,711,17.3
1970,"KENYA","no","no",11498,586,27.6
1971,"KENYA","no","no",11902,749,21.2
1972,"KENYA","no","no",12327,839,16.8
1973,"KENYA","no","no",12773,804,20.5
1974,"KENYA","no","no",13244,847,17.7
1975,"KENYA","no","no",13741,837,11.8
1976,"KENYA","no","no",14258,804,13.3
1977,"KENYA","no","no",14805,843,16.6
1978,"KENYA","no","no",15383,898,18.6
1979,"KENYA","no","no",15992,931,13
1980,"KENYA","no","no",16632,911,17.2
1981,"KENYA","no","no",17304,870,16.8
1982,"KENYA","no","no",18011,860,12.5
1983,"KENYA","no","no",18744,836,10.8
1984,"KENYA","no","no",19490,833,10.8
1985,"KENYA","no","no",20241,794,13.8
1960,"LESOTHO","no","no",871,313,1.1
1961,"LESOTHO","no","no",889,313,2.1
1962,"LESOTHO","no","no",907,358,3.6
1963,"LESOTHO","no","no",925,393,4.5
1964,"LESOTHO","no","no",944,408,5.1
1965,"LESOTHO","no","no",963,409,6.2
1966,"LESOTHO","no","no",982,486,5.7
1967,"LESOTHO","no","no",1002,482,6.3
1968,"LESOTHO","no","no",1022,486,5.9
1969,"LESOTHO","no","no",1043,483,5.8
1970,"LESOTHO","no","no",1064,419,6.8
1971,"LESOTHO","no","no",1087,457,7.7
1972,"LESOTHO","no","no",1110,531,7.6
1973,"LESOTHO","no","no",1135,640,9
1974,"LESOTHO","no","no",1161,718,7.4
1975,"LESOTHO","no","no",1187,762,9.1
1976,"LESOTHO","no","no",1213,837,12.1
1977,"LESOTHO","no","no",1242,888,16.4
1978,"LESOTHO","no","no",1272,975,13
1979,"LESOTHO","no","no",1304,982,14.9
1980,"LESOTHO","no","no",1339,994,17.5
1981,"LESOTHO","no","no",1376,1020,16.8
1982,"LESOTHO","no","no",1416,1029,18.5
1983,"LESOTHO","no","no",1458,1013,11
1984,"LESOTHO","no","no",1501,1021,13
1985,"LESOTHO","no","no",1545,975,16.8
1960,"LIBERIA","no","no",1050,717,19.2
1961,"LIBERIA","no","no",1078,740,29.5
1962,"LIBERIA","no","no",1107,734,42.1
1963,"LIBERIA","no","no",1137,805,28.2
1964,"LIBERIA","no","no",1168,804,18.9
1965,"LIBERIA","no","no",1199,824,14.2
1966,"LIBERIA","no","no",1231,885,11.8
1967,"LIBERIA","no","no",1264,917,11.6
1968,"LIBERIA","no","no",1298,912,12
