"lnhr","lnwg","kids","age","disab","id","year"
7.45,2.69,2,35,0,19,1982
7.75,2.82,2,36,0,19,1983
7.37,2.77,2,37,0,19,1984
7.45,2.82,2,38,0,19,1985
7.59,2.82,3,39,0,19,1986
7.54,2.89,3,40,0,19,1987
7.71,2.69,3,41,0,19,1988
7.54,3.57,0,50,0,20,1979
7.55,3.55,0,51,0,20,1980
7.67,3.51,0,52,0,20,1981
7.53,3.45,0,53,0,20,1982
7.66,3.3,0,54,0,20,1983
7.58,3.46,0,55,0,20,1984
7.59,3.42,0,57,0,20,1985
7.53,3.43,0,57,0,20,1986
7.59,3.46,0,58,0,20,1987
7.55,3.44,0,59,0,20,1988
8.04,2.04,6,37,0,21,1979
7.85,2,6,38,0,21,1980
7.81,2.34,6,38,0,21,1981
7.6,2.22,4,40,0,21,1982
7.58,2.22,4,42,0,21,1983
7.61,2.09,3,43,0,21,1984
7.62,2.27,2,43,0,21,1985
7.6,2.3,2,44,0,21,1986
7.1,2.34,2,45,1,21,1987
6.95,1.87,2,46,0,21,1988
7.55,2.67,0,26,0,22,1979
7.7,2.71,0,27,0,22,1980
7.69,2.71,1,28,0,22,1981
7.8,2.74,1,29,0,22,1982
7.7,2.74,2,30,0,22,1983
7.84,2.68,2,31,0,22,1984
7.7,2.83,2,32,0,22,1985
7.69,2.89,2,33,0,22,1986
7.72,2.95,2,34,0,22,1987
7.6,3.03,2,35,0,22,1988
7.61,2.55,3,30,0,23,1979
7.57,2.51,3,31,0,23,1980
7.5,2.54,3,32,0,23,1981
7.49,2.56,3,33,0,23,1982
7.52,2.5,3,34,0,23,1983
7.26,2.57,3,35,0,23,1984
7.71,2.44,3,36,0,23,1985
7.62,2.45,3,37,0,23,1986
7.81,2.32,3,38,0,23,1987
7.82,2.33,3,39,0,23,1988
7.68,2.97,3,46,0,24,1979
7.66,3.04,2,47,0,24,1980
7.8,2.84,1,47,0,24,1981
7.74,2.91,1,48,0,24,1982
7.78,2.92,1,49,0,24,1983
7.74,2.96,0,50,0,24,1984
7.68,3.17,0,51,0,24,1985
7.78,2.99,0,52,0,24,1986
7.72,3.04,0,53,0,24,1987
7.76,2.98,0,54,0,24,1988
7.64,2.13,1,49,1,25,1979
7.61,2.15,1,50,0,25,1980
7.52,2.17,1,51,0,25,1981
7.52,2.09,1,51,0,25,1982
7.47,1.99,1,53,0,25,1983
7.54,2.09,1,53,0,25,1984
7.57,2.03,1,55,0,25,1985
7.58,2.02,1,56,0,25,1986
7.56,2.51,0,57,0,25,1987
7.28,2.08,0,58,0,25,1988
7.89,2.64,2,43,0,26,1979
7.97,2.71,2,44,0,26,1980
7.92,2.69,2,45,0,26,1981
7.66,2.69,2,46,0,26,1982
7.56,2.68,2,47,0,26,1983
7.68,2.66,2,48,0,26,1984
7.53,2.61,2,49,0,26,1985
7.46,2.56,2,50,0,26,1986
7.66,2.75,1,51,0,26,1987
7.77,2.56,1,52,0,26,1988
7.55,2.35,1,44,0,27,1979
7.56,2.35,1,45,0,27,1980
7.56,2.36,1,46,0,27,1981
7.47,2.36,1,47,1,27,1982
7.55,2.39,1,47,0,27,1983
7.43,2.43,0,49,0,27,1984
7.57,2.49,0,49,0,27,1985
7.52,2.47,0,50,0,27,1986
7.59,2.46,0,51,1,27,1987
7.28,2.47,0,52,0,27,1988
7.92,3.58,3,32,0,28,1979
8.05,3.69,3,33,0,28,1980
7.85,3.77,3,34,0,28,1981
8.01,3.54,4,35,0,28,1982
7.89,3.63,4,36,0,28,1983
7.8,3.74,4,37,0,28,1984
7.92,3.61,4,38,0,28,1985
7.87,3.67,4,39,0,28,1986
7.89,3.71,4,40,0,28,1987
7.92,3.67,4,41,0,28,1988
7.5,2.6,1,33,0,29,1979
7.6,2.62,1,34,0,29,1980
7.58,2.71,1,35,0,29,1981
7.65,2.55,1,36,0,29,1982
7.84,2.83,1,37,0,29,1983
7.6,2.79,2,38,0,29,1984
7.6,2.54,2,39,0,29,1985
7.78,2.45,2,40,0,29,1986
7.62,2.72,2,41,0,29,1987
7.77,2.53,2,42,0,29,1988
7.58,3.35,0,32,0,30,1979
7.15,2.58,0,33,0,30,1980
7.58,2.48,0,34,0,30,1981
7.43,2.48,0,35,0,30,1982
7.12,2.47,0,36,0,30,1983
7.56,2.4,0,37,0,30,1984
7.24,2.46,0,38,0,30,1985
7.27,2.63,0,39,0,30,1986
7.33,2.63,0,40,0,30,1987
7.6,2.67,0,41,0,30,1988
7.79,2.23,1,22,0,31,1979
7.6,2.34,2,23,0,31,1980
7.66,2.51,2,24,0,31,1981
7.74,2.39,2,25,0,31,1982
7.75,2.28,3,26,0,31,1983
7.69,2.29,3,27,0,31,1984
7.72,2.5,3,28,0,31,1985
7.65,2.45,3,29,0,31,1986
7.62,2.51,3,30,0,31,1987
7.6,2.57,3,31,0,31,1988
7.64,2.39,1,36,0,32,1979
7.63,2.36,1,37,0,32,1980
7.58,2.26,1,38,0,32,1981
7.45,2.56,1,39,0,32,1982
7.59,2.38,1,40,0,32,1983
7.64,2.5,1,41,0,32,1984
7.5,2.12,1,42,0,32,1985
7.64,2.37,1,43,0,32,1986
7.62,2.34,1,44,0,32,1987
7.63,2.34,1,45,0,32,1988
7.65,2.34,0,22,0,33,1979
7.79,2.47,0,23,0,33,1980
7.61,2.55,1,24,0,33,1981
7.58,2.55,1,25,0,33,1982
7.72,2.56,2,26,0,33,1983
7.6,2.58,2,27,0,33,1984
7.6,2.72,2,28,0,33,1985
7.65,2.62,2,29,0,33,1986
7.63,2.73,2,30,0,33,1987
7.54,2.69,2,31,0,33,1988
7.6,2.68,0,29,0,34,1979
7.58,2.67,1,30,0,34,1980
7.62,2.72,1,31,0,34,1981
7.72,2.87,2,32,0,34,1982
7.62,2.92,2,33,0,34,1983
7.64,2.92,2,34,0,34,1984
7.77,2.87,2,35,0,34,1985
7.88,2.68,2,36,0,34,1986
7.9,2.82,2,37,0,34,1987
7.97,3.03,2,38,0,34,1988
7.54,2.77,1,39,0,35,1979
7.56,3.11,1,40,0,35,1980
7.52,3.28,1,41,0,35,1981
7.74,3.01,0,42,0,35,1982
7.55,3.24,0,43,0,35,1983
7.54,3.26,0,44,0,35,1984
7.69,3.25,0,46,0,35,1985
7.73,3.29,0,46,0,35,1986
7.51,3.33,0,47,0,35,1987
7.54,3.36,0,48,0,35,1988
7.99,3.74,0,50,0,36,1979
8.25,3,0,51,0,36,1980
8.14,3,0,51,0,36,1981
8.05,2.9,0,52,0,36,1982
8.16,3.1,0,53,0,36,1983
8.19,3.16,0,54,0,36,1984
8.14,2.95,0,54,0,36,1985
8.05,3.61,0,55,0,36,1986
8.11,3.07,0,56,0,36,1987
8.14,3.25,0,57,0,36,1988
7.63,2.92,0,27,0,37,1979
7.57,3.06,0,28,0,37,1980
7.6,3.09,0,29,0,37,1981
7.58,3.12,0,30,0,37,1982
7.55,3.17,0,31,0,37,1983
7.59,3.18,0,32,0,37,1984
7.56,3.24,0,33,0,37,1985
7.55,3.19,0,34,0,37,1986
7.56,3.22,1,35,0,37,1987
7.55,3.22,1,36,0,37,1988
7.58,3.02,2,38,0,38,1979
7.56,3.07,2,39,0,38,1980
7.55,3.04,2,40,0,38,1981
7.54,3.02,2,41,0,38,1982
7.57,3.03,2,42,0,38,1983
7.57,3.01,2,43,0,38,1984
7.66,3.07,1,44,0,38,1985
7.52,2.98,1,45,0,38,1986
7.51,2.98,1,46,0,38,1987
7.53,2.96,1,47,0,38,1988
7.54,3.16,2,47,0,39,1979
7.54,3.31,1,48,0,39,1980
7.56,3.28,1,49,0,39,1981
7.61,3.26,1,50,0,39,1982
7.61,3.34,1,51,0,39,1983
7.58,3.41,0,52,0,39,1984
7.64,3.51,0,53,0,39,1985
7.61,3.51,0,54,1,39,1986
7.68,3.42,0,55,1,39,1987
7.68,3.54,0,56,1,39,1988
7.74,3.19,3,41,0,40,1979
7.67,3.07,3,42,0,40,1980
7.71,3.11,3,43,0,40,1981
7.69,3.11,3,44,0,40,1982
7.69,3.06,2,45,0,40,1983
7.71,3.09,2,46,0,40,1984
8.54,3.01,1,47,0,40,1985
7.85,3.11,1,48,0,40,1986
7.84,3.19,1,49,0,40,1987
7.92,3.22,1,50,0,40,1988
7.71,2.57,1,30,0,41,1979
7.54,2.58,1,31,0,41,1980
7.48,2.86,2,32,0,41,1981
7.47,2.89,2,33,0,41,1982
7.47,3.03,2,34,0,41,1983
7.49,3.07,2,35,0,41,1984
7.45,3.21,2,36,0,41,1985
7.5,3.2,2,37,0,41,1986
7.58,3.12,3,38,0,41,1987
7.61,3.07,3,39,0,41,1988
7.82,3,3,36,0,42,1979
7.78,2.96,3,37,0,42,1980
7.74,2.64,3,38,0,42,1981
7.41,2.83,3,38,0,42,1982
7.68,2.72,2,40,0,42,1983
7.65,2.72,2,40,0,42,1984
7.74,2.51,1,41,0,42,1985
7.72,2.69,1,42,0,42,1986
7.64,2.75,1,43,0,42,1987
7.94,2.86,0,45,0,42,1988
7.76,2.71,1,31,0,43,1979
7.62,2.73,2,32,0,43,1980
7.53,2.74,2,33,0,43,1981
7.28,2.71,3,34,0,43,1982
2.77,1.87,3,35,0,43,1983
3.18,-0.26,3,36,0,43,1984
6.7,2.8,3,37,0,43,1985
7.14,2.79,3,38,0,43,1986
6.56,1.95,3,39,0,43,1987
7.62,2.76,3,40,0,43,1988
8.12,2.28,1,31,0,44,1979
8.24,2.27,1,32,0,44,1980
8.22,2.28,1,33,0,44,1981
7.9,2.17,2,34,0,44,1982
7.93,2.05,2,35,0,44,1983
8,2.13,2,36,0,44,1984
8.07,2.24,2,37,0,44,1985
7.99,2.27,2,38,0,44,1986
8.26,2.24,2,39,0,44,1987
8.31,2.2,2,40,0,44,1988
7.6,2.84,1,29,0,45,1979
7.61,2.89,1,30,0,45,1980
7.69,2.82,1,31,0,45,1981
7.61,2.92,1,32,0,45,1982
7.64,2.92,1,33,0,45,1983
7.65,2.92,1,34,0,45,1984
7.66,3,1,35,0,45,1985
7.75,3.03,1,36,0,45,1986
7.7,2.7,1,37,1,45,1987
7.77,2.83,1,38,0,45,1988
7.25,2.4,1,30,0,46,1979
7.37,2.41,1,32,0,46,1980
7.45,2.35,1,32,0,46,1981
7.41,2.5,1,33,0,46,1982
7.26,2.45,1,34,0,46,1983
7.09,2.46,1,35,0,46,1984
7.27,2.59,1,36,0,46,1985
7.3,2.47,1,37,0,46,1986
7.81,2.57,1,38,0,46,1987
7.91,2.14,1,39,0,46,1988
7.72,3.41,1,46,0,47,1979
7.78,3.41,0,47,0,47,1980
7.68,3.26,0,48,0,47,1981
7.67,3.39,0,49,0,47,1982
7.7,3.36,0,51,0,47,1983
7.7,3.41,0,51,0,47,1984
7.79,3.29,0,52,0,47,1985
7.94,3.17,0,53,0,47,1986
7.8,3.21,0,54,0,47,1987
7.8,3.2,0,55,0,47,1988
8.28,2.17,2,24,0,48,1979
7.78,1.87,3,25,0,48,1980
7.95,2.64,3,26,0,48,1981
7.55,2.58,4,27,0,48,1982
7.57,2.77,4,28,0,48,1983
7.59,2.58,4,29,0,48,1984
7.59,2.67,4,30,0,48,1985
7.59,2.57,4,31,0,48,1986
7.59,2.59,4,32,0,48,1987
7.66,2.63,4,33,0,48,1988
7.79,2.52,2,30,0,49,1979
7.62,2.51,2,31,0,49,1980
7.61,2.49,2,32,0,49,1981
7.79,2.45,2,33,0,49,1982
7.9,2.42,2,34,0,49,1983
7.8,2.67,2,35,0,49,1984
7.67,2.59,2,36,0,49,1985
7.62,2.63,2,37,0,49,1986
7.61,2.61,2,38,0,49,1987
7.36,2.67,1,39,0,49,1988
7.8,2.92,3,30,0,50,1979
7.74,2.96,3,31,0,50,1980
7.73,3.14,3,32,0,50,1981
7.58,3.08,3,33,0,50,1982
7.68,3.1,3,34,0,50,1983
7.68,3.05,3,35,0,50,1984
7.74,3.13,3,36,0,50,1985
7.71,3.13,3,37,0,50,1986
7.82,3.15,3,38,0,50,1987
7.8,3.19,3,39,0,50,1988
7.58,2.9,0,31,0,51,1979
7.52,2.85,0,32,0,51,1980
7.53,2.94,0,33,0,51,1981
7.5,3.14,0,34,0,51,1982
7.56,3.19,0,34,0,51,1983
7.74,3.14,0,36,0,51,1984
7.79,3.1,0,37,0,51,1985
7.63,3.4,0,38,0,51,1986
7.66,3.15,1,38,0,51,1987
7.81,3.05,1,40,0,51,1988
7.69,2.72,0,46,0,52,1979
7.53,2.69,0,47,0,52,1980
7.41,2.69,0,48,0,52,1981
7.62,2.78,0,49,0,52,1982
7.66,2.64,0,49,0,52,1983
7.65,2.63,0,50,0,52,1984
7.58,2.78,0,51,0,52,1985
7.82,2.47,0,52,0,52,1986
7.59,2.49,0,53,0,52,1987
7.57,2.71,0,54,0,52,1988
7.27,2.12,0,50,0,53,1979
7.58,2.2,0,50,0,53,1980
7.6,2.16,0,51,0,53,1981
7.58,2.2,0,52,0,53,1982
7.57,2.21,0,53,0,53,1983
7.58,2.27,0,54,0,53,1984
7.6,2.31,0,55,0,53,1985
7.48,2.3,0,56,0,53,1986
7.5,2.34,0,57,0,53,1987
7.59,2.33,0,58,0,53,1988
7.41,3.2,3,36,0,54,1979
7.42,3.14,3,37,0,54,1980
7.45,3.11,3,38,0,54,1981
7.42,3.04,3,39,0,54,1982
7.39,2.97,3,40,0,54,1983
7.41,2.98,3,41,0,54,1984
7.42,3.13,3,42,0,54,1985
7.41,3.01,3,43,0,54,1986
7.43,3,3,44,0,54,1987
7.42,2.91,3,45,0,54,1988
7.63,3.05,2,32,0,55,1979
7.6,3,2,33,0,55,1980
7.57,2.98,2,34,0,55,1981
7.75,2.89,3,35,0,55,1982
7.43,2.83,3,36,0,55,1983
7.57,2.93,3,37,0,55,1984
7.61,2.96,3,38,0,55,1985
7.49,3.27,3,39,0,55,1986
7.62,3,3,40,0,55,1987
7.68,2.84,3,41,0,55,1988
7.78,3.01,3,48,0,56,1979
7.78,3.04,3,49,0,56,1980
7.76,2.85,3,50,0,56,1981
7.78,2.74,3,51,0,56,1982
7.69,2.74,3,52,0,56,1983
7.68,2.74,2,53,0,56,1984
7.56,2.97,2,54,0,56,1985
7.9,2.6,1,55,0,56,1986
7.82,3.06,1,56,0,56,1987
7.82,3.14,0,57,0,56,1988
7.68,2.87,0,26,0,57,1979
8.06,2.96,0,27,0,57,1980
7.87,3.11,0,28,0,57,1981
7.77,3.14,0,29,0,57,1982
7.71,3.11,1,30,0,57,1983
7.8,2.97,1,31,0,57,1984
7.68,3.29,2,32,0,57,1985
7.57,3.28,2,33,0,57,1986
7.74,3.17,2,34,0,57,1987
7.71,3.36,2,35,1,57,1988
7.52,2.56,2,42,0,58,1979
8.1,2.09,2,44,0,58,1980
7.5,2.53,1,44,0,58,1981
7.55,2.36,1,45,0,58,1982
7.73,2.41,0,46,0,58,1983
7.61,2.41,0,47,0,58,1984
7.43,2.28,0,48,0,58,1985
7.43,2.5,0,49,0,58,1986
7.41,2.53,0,50,0,58,1987
7.44,2.48,0,51,0,58,1988
7.69,2.74,0,25,0,59,1979
7.7,2.91,0,26,0,59,1980
7.6,2.9,1,27,0,59,1981
7.65,3,1,28,0,59,1982
7.68,3.09,1,29,0,59,1983
7.66,3.03,2,30,0,59,1984
7.7,3.09,2,31,0,59,1985
7.7,2.97,2,32,0,59,1986
7.68,3.04,2,33,0,59,1987
7.7,3.03,2,34,0,59,1988
7.65,2.87,2,35,0,60,1979
7.59,2.89,2,36,1,60,1980
7.56,2.94,2,37,0,60,1981
7.59,2.85,2,38,0,60,1982
7.59,2.99,2,39,0,60,1983
7.6,2.96,2,40,0,60,1984
7.58,2.97,2,41,0,60,1985
7.59,2.93,2,42,0,60,1986
7.58,3.36,2,43,0,60,1987
7.7,2.3,2,44,0,60,1988
7.68,2.72,2,38,0,61,1979
7.65,2.74,2,39,0,61,1980
7.69,2.69,2,41,0,61,1981
7.67,2.69,1,41,0,61,1982
7.69,2.68,1,43,0,61,1983
7.53,2.75,1,43,0,61,1984
7.56,2.71,0,44,0,61,1985
7.55,2.67,0,45,0,61,1986
7.55,2.68,0,46,0,61,1987
7.54,2.67,0,47,0,61,1988
7.8,2.66,2,34,0,62,1979
7.68,2.73,2,35,0,62,1980
7.6,2.81,2,36,0,62,1981
7.6,2.75,2,37,0,62,1982
7.6,2.69,2,38,0,62,1983
7.66,2.7,2,39,0,62,1984
7.78,2.71,2,40,0,62,1985
7.82,2.69,2,41,0,62,1986
7.67,2.67,1,42,0,62,1987
7.64,2.69,1,43,0,62,1988
7.76,2.25,0,44,0,63,1979
7.65,2.27,0,45,0,63,1980
7.59,2.32,0,46,0,63,1981
7.61,2.18,0,47,0,63,1982
7.62,2.04,0,48,0,63,1983
7.84,2.02,0,49,0,63,1984
7.96,2.09,0,50,0,63,1985
7.85,2.13,0,51,0,63,1986
7.74,2.11,0,52,0,63,1987
7.72,2.19,0,53,0,63,1988
7.67,3.05,3,41,0,64,1979
7.62,3.1,3,42,0,64,1980
7.49,3.12,3,43,0,64,1981
7.48,3.14,3,44,0,64,1982
7.52,3.08,3,45,0,64,1983
7.57,3.13,2,46,0,64,1984
7.7,3.18,2,47,0,64,1985
7.5,3.13,2,48,0,64,1986
7.55,3.22,1,49,0,64,1987
7.56,3.12,1,50,0,64,1988
7.88,2.49,1,42,0,65,1979
7.88,2.38,1,42,0,65,1980
7.56,2.26,1,44,0,65,1981
7.78,1.96,1,45,0,65,1982
7.93,2.2,1,46,0,65,1983
7.76,2.18,1,47,0,65,1984
7.82,1.86,1,48,0,65,1985
7.88,1.8,1,49,0,65,1986
7.78,2.13,1,50,0,65,1987
8.01,2.12,0,51,0,65,1988
7.55,3.35,1,47,0,66,1979
7.66,3.31,1,48,0,66,1980
7.6,3.33,0,49,0,66,1981
7.52,3.3,0,50,0,66,1982
7.55,3.37,0,51,0,66,1983
7.57,3.33,0,52,0,66,1984
7.59,3.33,0,53,0,66,1985
7.58,3.33,0,54,0,66,1986
7.57,3.4,0,55,0,66,1987
7.57,3.36,0,56,0,66,1988
7.53,3.23,2,51,0,67,1979
7.56,3.33,2,52,0,67,1980
7.55,3.33,1,53,0,67,1981
7.52,3.36,1,54,0,67,1982
7.6,3.31,0,55,0,67,1983
7.54,3.33,0,56,0,67,1984
7.52,3.33,0,57,0,67,1985
7.57,3.25,0,58,0,67,1986
7.53,3.3,0,59,0,67,1987
7.54,3.36,0,60,0,67,1988
7.45,1.91,1,46,0,68,1979
7.52,1.69,1,47,0,68,1980
7.76,1.78,1,48,0,68,1981
7.58,1.86,1,49,0,68,1982
7.58,1.79,1,50,1,68,1983
7.56,1.81,1,51,0,68,1984
7.61,1.79,1,52,0,68,1985
7.57,1.78,1,54,0,68,1986
7.58,1.76,1,54,1,68,1987
7.58,1.83,1,55,1,68,1988
7.72,2.87,2,28,0,69,1979
7.58,2.76,3,29,0,69,1980
7.62,2.97,3,30,0,69,1981
7.62,2.92,3,31,0,69,1982
7.63,3.19,3,32,0,69,1983
7.65,2.92,3,33,0,69,1984
7.66,3.15,3,34,0,69,1985
7.56,3.15,3,35,0,69,1986
7.61,3.11,3,36,0,69,1987
7.61,3.14,3,37,0,69,1988
7.81,2.53,1,41,0,70,1979
7.73,2.52,1,42,0,70,1980
7.5,2.5,1,43,0,70,1981
7.61,2.5,0,44,0,70,1982
7.63,2.49,0,45,0,70,1983
7.7,2.49,0,46,0,70,1984
7.7,2.5,0,47,0,70,1985
7.5,2.49,0,48,0,70,1986
7.62,2.46,0,49,0,70,1987
7.61,2.55,0,50,0,70,1988
7.72,2.13,0,49,0,71,1979
7.65,2.14,0,50,0,71,1980
7.65,2.18,0,50,0,71,1981
7.59,2.12,0,51,0,71,1982
7.6,2.14,0,52,0,71,1983
7.58,2.09,0,53,0,71,1984
7.58,2.12,0,54,0,71,1985
7.6,2.16,0,55,0,71,1986
7.56,2.06,0,56,0,71,1987
7.56,2.08,0,57,0,71,1988
7.58,2.07,1,26,0,72,1979
7.74,2.09,2,27,0,72,1980
7.78,2.08,2,28,0,72,1981
7.65,2.09,2,29,0,72,1982
7.88,2.03,3,30,0,72,1983
7.67,2.04,3,31,0,72,1984
7.76,2.18,3,32,0,72,1985
7.67,2.19,3,33,0,72,1986
7.62,2.23,3,34,0,72,1987
7.83,2.24,3,35,0,72,1988
7.72,2.72,2,33,0,73,1979
7.68,2.74,2,34,0,73,1980
7.69,2.59,2,35,0,73,1981
7.71,2.71,2,36,0,73,1982
7.67,2.7,2,37,0,73,1983
7.6,2.71,2,37,0,73,1984
7.62,2.67,2,39,0,73,1985
7.66,2.61,2,40,0,73,1986
7.66,2.63,2,41,0,73,1987
7.67,2.68,2,42,0,73,1988
7.6,2.6,3,34,0,74,1979
7.84,2.23,3,35,0,74,1980
7.79,2.17,3,36,0,74,1981
7.84,2.08,2,37,0,74,1982
7.71,2.07,2,38,0,74,1983
